func,grid,k,feature_idx,feature_name,test_r2,attribution,n_tp,tp_norm,tp_raw,first_tp_norm,first_tp_raw,ckpt_path
exponential,3,2,0,Exponent (x0),0.9894,0.98165,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k2
exponential,3,2,1,Linear (x1),0.9894,0.24336,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k2
exponential,3,3,0,Exponent (x0),0.9648,0.94453,1,[0.36063],[-0.3480355898012577],0.36063,-0.3480355898012577,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k3
exponential,3,3,1,Linear (x1),0.9648,0.36678,1,[0.62995],[0.32403909694192884],0.62995,0.32403909694192884,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k3
exponential,3,4,0,Exponent (x0),0.9798,0.9614,1,[0.36063],[-0.3480355898012577],0.36063,-0.3480355898012577,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k4
exponential,3,4,1,Linear (x1),0.9798,0.31952,1,[0.62995],[0.32403909694192884],0.62995,0.32403909694192884,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k4
exponential,3,5,0,Exponent (x0),0.9402,0.96125,1,[0.64591],[0.3643469260699538],0.64591,0.3643469260699538,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k5
exponential,3,5,1,Linear (x1),0.9402,0.3127,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k5
exponential,3,6,0,Exponent (x0),0.9674,0.97289,2,"[0.64591, 1.43333]","[0.3643469260699538, 2.3306405346205334]",0.64591,0.3643469260699538,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k6
exponential,3,6,1,Linear (x1),0.9674,0.27578,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k6
exponential,3,7,0,Exponent (x0),0.9379,0.97325,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k7
exponential,3,7,1,Linear (x1),0.9379,0.26907,2,"[0.62995, 1.43238]","[0.32403909694192884, 2.3272774794258195]",0.62995,0.32403909694192884,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k7
exponential,3,8,0,Exponent (x0),0.9395,0.96657,2,"[0.9, 1.7]","[0.9988438184483756, 2.996551378378862]",0.9,0.9988438184483756,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k8
exponential,3,8,1,Linear (x1),0.9395,0.29871,1,[1.43238],[2.3272774794258195],1.43238,2.3272774794258195,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g3_k8
exponential,5,2,0,Exponent (x0),0.9903,0.98028,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k2
exponential,5,2,1,Linear (x1),0.9903,0.25037,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k2
exponential,5,3,0,Exponent (x0),0.9728,0.98657,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k3
exponential,5,3,1,Linear (x1),0.9728,0.21107,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k3
exponential,5,4,0,Exponent (x0),0.9832,0.9733,1,[0.74243],[0.6053703431755671],0.74243,0.6053703431755671,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k4
exponential,5,4,1,Linear (x1),0.9832,0.2769,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k4
exponential,5,5,0,Exponent (x0),0.9704,0.95837,1,[0.74243],[0.6053703431755671],0.74243,0.6053703431755671,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k5
exponential,5,5,1,Linear (x1),0.9704,0.32838,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k5
exponential,5,6,0,Exponent (x0),0.9672,0.96938,2,"[0.25139, 0.9]","[-0.6208225571097656, 0.9988438184483756]",0.25139,-0.6208225571097656,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k6
exponential,5,6,1,Linear (x1),0.9672,0.28769,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k6
exponential,5,7,0,Exponent (x0),0.9737,0.97695,2,"[0.74243, 1.06]","[0.6053703431755671, 1.3983853304344729]",0.74243,0.6053703431755671,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k7
exponential,5,7,1,Linear (x1),0.9737,0.25721,2,"[0.75486, 1.21943]","[0.635872535816426, 1.795655264964814]",0.75486,0.635872535816426,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k7
exponential,5,8,0,Exponent (x0),0.9642,0.97193,3,"[0.42255, 0.74243, 1.38]","[-0.19341302466263813, 0.6053703431755671, 2.1974683544066673]",0.42255,-0.19341302466263813,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k8
exponential,5,8,1,Linear (x1),0.9642,0.27458,1,[0.58166],[0.20348480374483105],0.58166,0.20348480374483105,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g5_k8
exponential,7,2,0,Exponent (x0),0.9909,0.97594,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k2
