func,grid,k,slicing_feat_idx,slicing_feat_name,interval_idx,lo_norm,hi_norm,lo_raw,hi_raw,attr_0,attr_1
exponential,3,2,0,Exponent (x0),0,0.1,0.3667,-0.9989,-0.333,12.90757,1.32614
exponential,3,2,0,Exponent (x0),1,0.3667,0.6333,-0.333,0.3329,8.86273,3.34972
exponential,3,2,0,Exponent (x0),2,0.6333,0.9,0.3329,0.9988,2.99011,4.26189
exponential,3,2,1,Linear (x1),0,0.1,0.3667,-0.999,-0.3332,4.16471,0.86448
exponential,3,2,1,Linear (x1),1,0.3667,0.6333,-0.3332,0.3325,4.27536,1.10123
exponential,3,2,1,Linear (x1),2,0.6333,0.9,0.3325,0.9982,4.2374,1.28804
exponential,3,3,0,Exponent (x0),0,0.1,0.3667,-0.9989,-0.333,11.64388,2.30258
exponential,3,3,0,Exponent (x0),1,0.3667,0.6333,-0.333,0.3329,6.63217,3.90226
exponential,3,3,0,Exponent (x0),2,0.6333,0.9,0.3329,0.9988,0.45984,4.36437
exponential,3,3,1,Linear (x1),0,0.1,0.3667,-0.999,-0.3332,4.16031,1.45492
exponential,3,3,1,Linear (x1),1,0.3667,0.6333,-0.3332,0.3325,4.26788,1.6883
exponential,3,3,1,Linear (x1),2,0.6333,0.9,0.3325,0.9982,4.21241,1.99582
exponential,3,4,0,Exponent (x0),0,0.1,0.3667,-0.9989,-0.333,12.20809,1.98492
exponential,3,4,0,Exponent (x0),1,0.3667,0.6333,-0.333,0.3329,8.13391,3.56267
exponential,3,4,0,Exponent (x0),2,0.6333,0.9,0.3329,0.9988,0.76412,4.3651
exponential,3,4,1,Linear (x1),0,0.1,0.3667,-0.999,-0.3332,4.16315,1.17776
exponential,3,4,1,Linear (x1),1,0.3667,0.6333,-0.3332,0.3325,4.27064,1.47648
exponential,3,4,1,Linear (x1),2,0.6333,0.9,0.3325,0.9982,4.22449,1.70505
exponential,3,5,0,Exponent (x0),0,0.1,0.3667,-0.9989,-0.333,11.56184,2.3423
exponential,3,5,0,Exponent (x0),1,0.3667,0.6333,-0.333,0.3329,9.10179,3.25885
exponential,3,5,0,Exponent (x0),2,0.6333,0.9,0.3329,0.9988,0.64316,4.36195
exponential,3,5,1,Linear (x1),0,0.1,0.3667,-0.999,-0.3332,4.163,1.15243
exponential,3,5,1,Linear (x1),1,0.3667,0.6333,-0.3332,0.3325,4.2654,1.46673
exponential,3,5,1,Linear (x1),2,0.6333,0.9,0.3325,0.9982,4.22824,1.62366
exponential,5,2,0,Exponent (x0),0,0.1,0.26,-0.9989,-0.5993,20.47209,1.81712
exponential,5,2,0,Exponent (x0),1,0.26,0.42,-0.5993,-0.1998,16.63788,3.0406
exponential,5,2,0,Exponent (x0),2,0.42,0.58,-0.1998,0.1998,9.52697,4.02736
exponential,5,2,0,Exponent (x0),3,0.58,0.74,0.1998,0.5993,4.2016,4.34928
exponential,5,2,0,Exponent (x0),4,0.74,0.9,0.5993,0.9988,4.75536,4.17004
exponential,5,2,1,Linear (x1),0,0.1,0.26,-0.999,-0.5995,4.1273,0.85585
exponential,5,2,1,Linear (x1),1,0.26,0.42,-0.5995,-0.2001,4.21056,0.97359
exponential,5,2,1,Linear (x1),2,0.42,0.58,-0.2001,0.1993,4.20879,1.09921
exponential,5,2,1,Linear (x1),3,0.58,0.74,0.1993,0.5988,4.46471,1.4121
exponential,5,2,1,Linear (x1),4,0.74,0.9,0.5988,0.9982,4.12535,1.33971
exponential,5,3,0,Exponent (x0),0,0.1,0.26,-0.9989,-0.5993,20.78919,1.479
exponential,5,3,0,Exponent (x0),1,0.26,0.42,-0.5993,-0.1998,17.27851,2.90417
exponential,5,3,0,Exponent (x0),2,0.42,0.58,-0.1998,0.1998,13.64894,3.47624
exponential,5,3,0,Exponent (x0),3,0.58,0.74,0.1998,0.5993,4.21164,4.33889
exponential,5,3,0,Exponent (x0),4,0.74,0.9,0.5993,0.9988,6.78819,4.06579
exponential,5,3,1,Linear (x1),0,0.1,0.26,-0.999,-0.5995,4.13173,0.39878
exponential,5,3,1,Linear (x1),1,0.26,0.42,-0.5995,-0.2001,4.20849,0.87614
exponential,5,3,1,Linear (x1),2,0.42,0.58,-0.2001,0.1993,4.2079,0.84235
exponential,5,3,1,Linear (x1),3,0.58,0.74,0.1993,0.5988,4.47784,0.97694
exponential,5,3,1,Linear (x1),4,0.74,0.9,0.5988,0.9982,4.12798,0.91446
exponential,5,4,0,Exponent (x0),0,0.1,0.26,-0.9989,-0.5993,20.1646,1.94458
exponential,5,4,0,Exponent (x0),1,0.26,0.42,-0.5993,-0.1998,16.08613,3.162
