Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x1 <= -0.634,4.274307,3.701684
-0.634 < x1 <= -0.258,4.1530547,6.3656406
-0.258 < x1 <= -0.208,4.3748975,4.2571793
-0.208 < x1 <= -0.148,4.392461,9.277873
-0.148 < x1 <= -0.0628,3.8827822,3.2726452
-0.0628 < x1 <= 0.00212,4.374488,11.594749
0.00212 < x1 <= 0.0271,4.4030538,3.9724944
0.0271 < x1 <= 0.382,4.5832915,7.419212
0.382 < x1 <= 0.446,4.329243,4.3423357
0.446 < x1 <= 0.699,4.4750276,13.01987
0.699 < x1 <= 0.744,4.2163687,3.425325
0.744 < x1 <= 0.913,4.1937485,9.882382
0.913 < x1 <= 0.978,3.7804759,3.750754
0.978 < x1 <= 0.998,6.1543927,14.854216
