func,grid,k,feature_idx,feature_name,test_r2,n_inflection,inflection_points_norm
conditional,3,2,0,Conditional (x0),0.999,0,[]
conditional,3,2,1,Linear (x1),0.999,0,[]
conditional,3,3,0,Conditional (x0),0.9976,1,[0.36062765]
conditional,3,3,1,Linear (x1),0.9976,1,[0.39616004]
conditional,3,4,0,Conditional (x0),0.9988,1,[0.9]
conditional,3,4,1,Linear (x1),0.9988,1,[0.39616004]
conditional,3,5,0,Conditional (x0),0.9985,1,[0.6459112]
conditional,3,5,1,Linear (x1),0.9985,1,[0.62994635]
conditional,5,2,0,Conditional (x0),0.9996,0,[]
conditional,5,2,1,Linear (x1),0.9996,0,[]
conditional,5,3,0,Conditional (x0),0.9989,1,[0.4225468]
conditional,5,3,1,Linear (x1),0.9989,1,[0.58166367]
conditional,5,4,0,Conditional (x0),0.9996,0,[]
conditional,5,4,1,Linear (x1),0.9996,1,[0.26589662]
conditional,5,5,0,Conditional (x0),0.9992,1,[0.59474057]
conditional,5,5,1,Linear (x1),0.9992,1,[1.0597131]
conditional,7,2,0,Conditional (x0),0.9997,1,[0.20923077]
conditional,7,2,1,Linear (x1),0.9997,1,[0.23186366]
conditional,7,3,0,Conditional (x0),0.9994,1,[0.44887602]
conditional,7,3,1,Linear (x1),0.9994,1,[0.23186366]
conditional,7,4,0,Conditional (x0),0.9997,2,"[0.20923077, 0.9]"
conditional,7,4,1,Linear (x1),0.9997,1,[0.9]
conditional,7,5,0,Conditional (x0),0.9995,2,"[0.56725717, 1.0142857]"
conditional,7,5,1,Linear (x1),0.9995,2,"[0.55620867, 1.0140808]"
conditional,10,2,0,Conditional (x0),0.9996,2,"[0.4225468, 0.68355876]"
conditional,10,2,1,Linear (x1),0.9996,1,[0.19837892]
conditional,10,3,0,Conditional (x0),0.9998,0,[]
conditional,10,3,1,Linear (x1),0.9998,1,[0.19837892]
conditional,10,4,0,Conditional (x0),0.9996,1,[0.5006053]
conditional,10,4,1,Linear (x1),0.9996,3,"[0.43790272, 0.7548603, 0.9]"
conditional,10,5,0,Conditional (x0),0.9998,0,[]
conditional,10,5,1,Linear (x1),0.9998,0,[]
conditional,15,2,0,Conditional (x0),0.9998,1,[0.5355033]
conditional,15,2,1,Linear (x1),0.9998,1,[0.16954741]
conditional,15,3,0,Conditional (x0),0.9998,1,[0.47468084]
conditional,15,3,1,Linear (x1),0.9998,2,"[0.16954741, 0.7548603]"
conditional,15,4,0,Conditional (x0),0.9997,3,"[0.14933406, 0.25138542, 0.9]"
conditional,15,4,1,Linear (x1),0.9997,1,[0.33011433]
conditional,15,5,0,Conditional (x0),0.9997,2,"[0.5355033, 0.9533333]"
conditional,15,5,1,Linear (x1),0.9997,3,"[0.33011433, 0.43790272, 0.9]"
conditional,20,2,0,Conditional (x0),,4,"[0.13847609, 0.46695694, 0.59474057, 0.71202147]"
conditional,20,2,1,Linear (x1),,3,"[0.15635474, 0.46882236, 0.6602026]"
conditional,20,3,0,Conditional (x0),,2,"[0.25138542, 0.7424341]"
conditional,20,3,1,Linear (x1),,4,"[0.15635474, 0.31409055, 0.6602026, 0.8653961]"
conditional,20,4,0,Conditional (x0),,2,"[0.33359137, 0.5006053]"
conditional,20,4,1,Linear (x1),,2,"[0.19837892, 0.5424917]"
conditional,20,5,0,Conditional (x0),,2,"[0.2921076, 0.68355876]"
conditional,20,5,1,Linear (x1),,5,"[0.15635474, 0.2353288, 0.43790272, 0.7150729, 0.8653961]"
conditional,30,2,0,Conditional (x0),0.9996,6,"[0.12427632, 0.22331752, 0.36062765, 0.47468084, 0.6459112, 0.7033149]"
