Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Conditional (x0),0,0,-0.8,1.5995508874766529,0.16392430330703364,0.3342100877861277
Conditional (x0),0,1,-0.39999999999999997,2.209050353485509,0.22638669579091705,0.46155887777164856
Conditional (x0),0,2,1.1102230246251565e-16,0.8127648385425346,0.0832933237408387,0.16981904743730342
Conditional (x0),0,3,0.40000000000000013,0.14325024721983937,0.01468049385481976,0.029930699969322357
Conditional (x0),0,4,0.8,0.021447726794576738,0.0021979942619186634,0.004481287035597984
Linear (x1),1,0,-0.8,0.9956042049452662,0.10203096815673396,0.20025029645825823
Linear (x1),1,1,-0.39999999999999997,1.0101823136210442,0.10352495395419799,0.2031824562157451
Linear (x1),1,2,1.1102230246251565e-16,1.007886177006867,0.10328964253164583,0.20272062405853475
Linear (x1),1,3,0.40000000000000013,0.9932350167218829,0.10178817029893397,0.19977377110637495
Linear (x1),1,4,0.8,0.9648911941440019,0.09888345410296041,0.1940728521610869
