Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Conditional (x0),0,0,-0.997519524780645,0.8023285772651433,0.0010192707855989297,0.002074478285887581
Conditional (x0),0,1,-0.6264942062233261,1.9275388240203029,0.3638278131393834,0.7404832050750063
Conditional (x0),0,2,0.07293624615412511,0.7090640366413936,0.12016161609497322,0.2445598038402596
Conditional (x0),0,3,0.701118555932458,0.04155227202318201,0.00632684635414059,0.012876760096777802
Conditional (x0),0,4,0.9992076283356517,0.00696500137564726,2.82652327413968e-06,5.752702068580501e-06
Linear (x1),1,0,-0.9995051018126483,0.9819632396101952,0.00024889347768169816,0.0004893105050982751
Linear (x1),1,1,-0.6470205507708781,1.0009985999204218,0.180453699465705,0.35476177059704944
Linear (x1),1,2,0.018199582989606805,1.0063236260293706,0.16143738310635214,0.3173767677855123
Linear (x1),1,3,0.6653598702169689,0.9726721355463042,0.1663504894665703,0.3270356571108258
Linear (x1),1,4,0.9996448382691323,0.9409742006027955,0.00017116158632051744,0.0003364940015142585
