Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Conditional (x0),0,0,-0.8014128198714368,1.5939105651341379,0.16225253865237857,0.3306897669818129
Conditional (x0),0,1,-0.39970143210291814,2.2042482214601478,0.22950836839716868,0.46776506238981536
Conditional (x0),0,2,0.0019372936948339886,0.805542180160046,0.08197037129804752,0.16706526263998547
Conditional (x0),0,3,0.39904094635291465,0.143941701935546,0.01465272701766033,0.029863981934357093
Conditional (x0),0,4,0.7988150404265993,0.021961284346616594,0.002264798597590387,0.0046159260540292475
Linear (x1),1,0,-0.7812073742175922,0.9947194484993815,0.11156028932261967,0.21902430030709485
Linear (x1),1,1,-0.3520886634820614,1.0103944077854976,0.10893323823975784,0.2138666583828179
Linear (x1),1,2,0.0526036630328561,1.0097976769429806,0.10060777545198535,0.19752142771967998
Linear (x1),1,3,0.4542038019945788,0.9886543903547818,0.10502232688188747,0.20618843677796458
Linear (x1),1,4,0.8307188496972536,0.9591405468079017,0.08322756614090422,0.1633991768124428
