Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Linear (x1),1,0,-0.94884087659534,0.9508017683401704,0.02416128303008366,0.04879400813759046
Linear (x1),1,1,-0.6878629386300457,0.9983123163692653,0.1040441761689488,0.2101184929763643
Linear (x1),1,2,-0.3929824424907754,1.0055024176836014,0.04248386311106317,0.08579668388373321
Linear (x1),1,3,-0.2994145927542762,1.0736563126556575,0.004536345911556496,0.009161206341890465
Linear (x1),1,4,0.1882723816299014,0.9974539636914415,0.23741010057652945,0.4794526170259112
Linear (x1),1,5,0.7922103208382143,0.9986424757357781,0.06188456429197412,0.12497663844647947
Linear (x1),1,6,0.9584837269101065,1.0013086182425468,0.020648724593179502,0.04170035318803086
Conditional (x0),0,0,-0.8990551396281553,2.001647953875363,0.10036419977778334,0.19880754400119158
Conditional (x0),0,1,-0.766875834429467,2.0007704733870924,0.031041162567661748,0.06148823292251882
Conditional (x0),0,2,-0.6958884598230044,2.002350811380893,0.03953813931021104,0.07831956402824847
Conditional (x0),0,3,-0.622061590232283,1.9976614566985518,0.03381046625824332,0.06697383901051585
Conditional (x0),0,4,-0.5510742156258204,1.9993203750345856,0.03665842211348041,0.07261524411569391
Conditional (x0),0,5,-0.45737088114528957,1.9959770156674495,0.056303261758195014,0.1115289437288052
Conditional (x0),0,6,-0.38638350653882686,2.086602958684125,0.014714918013338263,0.02914820939027951
Conditional (x0),0,7,-0.31539613193236404,1.9817986753878358,0.05590331386410933,0.11073670248414154
Conditional (x0),0,8,-0.24724825231015984,1.9458483507150959,0.01097784274789636,0.021745582189394205
Conditional (x0),0,9,-0.17910037268795567,2.01899188994048,0.05695247388857274,0.11281494281475365
Conditional (x0),0,10,-0.11947097801852696,2.1545870367845055,0.0030388696102376616,0.006019578745098935
Conditional (x0),0,11,-0.042804613443547294,1.5973661390944471,0.05857682733383001,0.11603256144526614
Conditional (x0),0,12,0.10768862072215364,0.10294356798112858,0.0039202250937618605,0.007765421580087746
Conditional (x0),0,13,0.25534235990359616,0.03318933750051656,0.001170271464929535,0.0023181452776233754
Conditional (x0),0,14,0.332008724478576,0.021374451364408742,6.0293847106535946e-05,0.00011943373920355991
Conditional (x0),0,15,0.40299609908503864,0.014003740034240764,0.0004542761112655404,0.0008998578993214466
Conditional (x0),0,16,0.4768229686757599,0.013680067922905437,5.788386632866677e-05,0.00011465990191298143
Conditional (x0),0,17,0.5449708482979642,0.009696021718852421,0.00028718443488713987,0.0005688724894105202
Conditional (x0),0,18,0.6187977178886853,0.009801675560083822,6.91223271105353e-05,0.0001369217322403685
Conditional (x0),0,19,0.6812666075423726,0.006828668119851498,0.00016373176782838965,0.0003243298976029995
Conditional (x0),0,20,0.772130447038645,0.006414006747945677,0.00013569651529566365,0.00026879595508340576
Conditional (x0),0,21,0.8629942865349172,0.007342396202147938,0.0001760494856646038,0.000348729586298166
Conditional (x0),0,22,0.9141051962515703,0.011750898920581676,1.657368628561953e-05,3.2830171244185284e-05
Conditional (x0),0,23,0.9584723456179143,0.021318084009180893,0.0004397364726414728,0.0008710568940634382
