Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Linear (x1),1,0,-0.9411764705882353,0.9206123650074005,0.02831887172142532,0.0568565682271776
Linear (x1),1,1,-0.8235294117647058,1.106655690819025,0.03404173324115343,0.0683465128002495
Linear (x1),1,2,-0.7058823529411764,1.0394665878266096,0.03197493546497476,0.06419694674659294
Linear (x1),1,3,-0.5882352941176471,0.8311690180562437,0.025567513207329775,0.051332590979321836
Linear (x1),1,4,-0.47058823529411764,0.6895788828842342,0.021212072168990934,0.042588053661883195
Linear (x1),1,5,-0.35294117647058826,0.8643430192023516,0.026587975585037976,0.05338140102275086
Linear (x1),1,6,-0.23529411764705888,1.3296456017997116,0.04090110524642011,0.08211826035606659
Linear (x1),1,7,-0.11764705882352944,1.485577621451739,0.04569771566534821,0.09174854542623924
Linear (x1),1,8,0.0,1.0674674811639306,0.03283626835234975,0.06592626818846015
Linear (x1),1,9,0.11764705882352944,0.6417477095510549,0.019740741874728945,0.03963402385153842
Linear (x1),1,10,0.23529411764705888,0.6151180116376054,0.01892158820283011,0.03798938676666394
Linear (x1),1,11,0.3529411764705882,0.8888571784382293,0.027342053367551588,0.05489538347628365
Linear (x1),1,12,0.47058823529411753,1.1935242753224884,0.03671388972599012,0.07371147398190797
Linear (x1),1,13,0.588235294117647,1.32534207750723,0.04076872493411804,0.08185247680605874
Linear (x1),1,14,0.7058823529411764,1.1938945164047254,0.03672527867764057,0.07373433988959383
Linear (x1),1,15,0.8235294117647058,0.7775279300403781,0.023917464665447797,0.04801974368715063
Linear (x1),1,16,0.9411764705882353,0.22131043806439266,0.006807709894389263,0.013668024132060788
Conditional (x0),0,0,-0.9411764705882353,1.0261253919452429,0.031564548173715894,0.06288706190554547
Conditional (x0),0,1,-0.8235294117647058,1.5225319657474756,0.04683446482866402,0.093309806710487
Conditional (x0),0,2,-0.7058823529411764,2.0411869627423584,0.06278876316948219,0.12509606710289925
Conditional (x0),0,3,-0.5882352941176471,2.424398553557694,0.07457669943337936,0.1485815506741046
Conditional (x0),0,4,-0.47058823529411764,2.4757988285273314,0.07615781853262094,0.15173166497724053
Conditional (x0),0,5,-0.35294117647058826,2.175829791895012,0.06693049877060366,0.13334777980636242
Conditional (x0),0,6,-0.23529411764705888,1.6690721594159186,0.05134217415809074,0.10229066061315482
Conditional (x0),0,7,-0.11764705882352944,1.1577034513265971,0.035612008675666364,0.07095094730461989
Conditional (x0),0,8,0.0,0.7329862654614772,0.022547322645403878,0.04492175421622378
Conditional (x0),0,9,0.11764705882352944,0.44627328463775484,0.01372777118875013,0.027350278921178108
Conditional (x0),0,10,0.23529411764705888,0.27004705316358013,0.008306892398981492,0.01655008820853195
Conditional (x0),0,11,0.3529411764705882,0.16370119340081146,0.005035597253274501,0.010032581947799452
Conditional (x0),0,12,0.47058823529411753,0.09535255003356724,0.00293313096298644,0.005843770911316219
Conditional (x0),0,13,0.588235294117647,0.05431679710454773,0.001670833966595711,0.0033288561113853856
Conditional (x0),0,14,0.7058823529411764,0.031618401408195496,0.0009726107182017094,0.0019377635348660025
Conditional (x0),0,15,0.8235294117647058,0.019162189346388914,0.0005894463322765477,0.0011743728370152725
Conditional (x0),0,16,0.9411764705882353,0.010850681064766832,0.0003337767955797124,0.0006649942172698275
