Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Linear (x1),1,0,-0.9985435862956049,0.09148207027465105,6.917877811506149e-05,0.00013866066441327584
Linear (x1),1,1,-0.9358843575267075,0.27075002435594797,0.008603834510552104,0.017245366892007678
Linear (x1),1,2,-0.8197512653507684,0.46989007387310266,0.01340170971175243,0.02686213927939933
Linear (x1),1,3,-0.6904863370410625,0.5564448656514287,0.021476603199014753,0.04304730655928302
Linear (x1),1,4,-0.5526238351194115,0.7392809493467212,0.024385172000287732,0.04887718811349958
Linear (x1),1,5,-0.4366311879527238,1.0607487638480961,0.028895663576197265,0.05791793407327727
Linear (x1),1,6,-0.32013997820205964,1.2333635822869837,0.041001754444227725,0.08218315888566992
Linear (x1),1,7,-0.1865415306739523,1.017544127535075,0.03675700352109769,0.0736750585793719
Linear (x1),1,8,-0.04690116803944002,0.9122148185269907,0.03318723155533077,0.06651987362143812
Linear (x1),1,9,0.09889661170683488,1.223956348894717,0.04812634560992369,0.09646355775402278
Linear (x1),1,10,0.24644785766644914,1.6388157291657988,0.06111369214257781,0.12249515513476922
Linear (x1),1,11,0.383362506846773,1.7310850978446977,0.0585064680031472,0.11726928325182728
Linear (x1),1,12,0.5177616220108613,1.4100391865667916,0.05074062302249782,0.1017035670873074
Linear (x1),1,13,0.6471595672790875,0.7120580448827241,0.02221682135050239,0.04453098614271435
Linear (x1),1,14,0.7852609939864512,0.2936925056928885,0.011895805429819951,0.02384373256616926
Linear (x1),1,15,0.9313156225257093,1.0838868888640718,0.038294076683796786,0.07675593962120213
Linear (x1),1,16,0.9996802545074813,1.415691269812669,0.00023503099034975815,0.00047109177362750134
Conditional (x0),0,0,-0.9999407277708022,0.8322356734424828,2.561236808584692e-05,5.111300462883641e-05
Conditional (x0),0,1,-0.9267951593260353,1.1027208529412746,0.04184597457872214,0.08350940003561445
Conditional (x0),0,2,-0.7868290897574783,1.7060781829059124,0.05924420386887478,0.11822996047971224
Conditional (x0),0,3,-0.6510356771397459,2.2712585632689297,0.08126881153057922,0.16218309552711446
Conditional (x0),0,4,-0.5143100333039246,2.498470155387622,0.08796965616137947,0.17555555298529338
Conditional (x0),0,5,-0.3811151772644822,2.264602494506107,0.07687904576966909,0.15342271394487048
Conditional (x0),0,6,-0.23690155344062908,1.677324416959891,0.06865386576034549,0.1370082354991275
Conditional (x0),0,7,-0.09355176257546051,1.0723328614403727,0.03592274479343637,0.07168877999695933
Conditional (x0),0,8,0.03789680564097583,0.6415775345658403,0.02229560169542482,0.04449394092890099
Conditional (x0),0,9,0.16713160171529737,0.36447671831751904,0.011790889125191138,0.02353034160738219
Conditional (x0),0,10,0.3010736058527035,0.2035762397767371,0.007572079340152473,0.015111126197541992
Conditional (x0),0,11,0.44285148441924993,0.10769228850904256,0.003922016830777635,0.007826924232620514
Conditional (x0),0,12,0.578304842418147,0.05519483323723762,0.0018717383195192229,0.003735311356954247
Conditional (x0),0,13,0.7047117531462599,0.030394437544600805,0.000964161099498574,0.0019241161370332947
Conditional (x0),0,14,0.8265218837117152,0.017907397875660536,0.0005645259332872018,0.0011265891753738948
Conditional (x0),0,15,0.9433472280886622,0.010329222277505323,0.00030092562118679933,0.0006005384827010906
Conditional (x0),0,16,0.9997285577130383,0.008036658982746303,1.1326746788300656e-06,2.2604081710819497e-06
