Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Linear (x1),1,0,-0.9346282849577736,0.26631751097738743,0.009036713452898526,0.018082949449903823
Linear (x1),1,1,-0.8024671430148355,0.48525689635425806,0.016822879817307564,0.03366348694398465
Linear (x1),1,2,-0.6782329102387653,0.5691719707101583,0.016971302721548558,0.03396048915486441
Linear (x1),1,3,-0.5596208955087012,0.7249589543789625,0.023017226486616704,0.046058707648960015
Linear (x1),1,4,-0.42739804335675324,1.0764691978693008,0.039702796001195945,0.07944742929512603
Linear (x1),1,5,-0.30651662330557305,1.2398086255416274,0.03206488159160941,0.06416355193294802
Linear (x1),1,6,-0.18457563055109516,1.0131218004971743,0.03792359313058494,0.07588714869775211
Linear (x1),1,7,-0.05688910597744312,0.9008064807858317,0.02598382213575215,0.0519950250326228
Linear (x1),1,8,0.0559942894929909,1.1075357249978879,0.032947682762102186,0.06593008453614974
Linear (x1),1,9,0.1733382553503926,1.4478558529651409,0.045115749022450136,0.09027903930115627
Linear (x1),1,10,0.2881142382365095,1.7139148944522729,0.04870208043402827,0.09745548126362312
Linear (x1),1,11,0.40457169636878443,1.7120301436079897,0.05484177059610601,0.10974133135919217
Linear (x1),1,12,0.5317467700477213,1.358964637176996,0.046176017456294946,0.09240069343929813
Linear (x1),1,13,0.6463252587962208,0.7240377726702718,0.018459159637137595,0.03693777083293473
Linear (x1),1,14,0.7485041287429266,0.19302156033518258,0.0053163206897580435,0.010638243515571173
Linear (x1),1,15,0.8475113843148684,0.6009069522860955,0.01433071496129508,0.028676531083649627
Linear (x1),1,16,0.9467282696079524,1.168980361399008,0.03232398736337512,0.06468203651226316
Conditional (x0),0,0,-0.9470054573320105,1.017819158732891,0.0279977208636733,0.055965969852867364
Conditional (x0),0,1,-0.8319704452817642,1.50037813000381,0.048316638214764854,0.09658241579327799
Conditional (x0),0,2,-0.7082860948774123,2.0505802240222692,0.06561266039460224,0.13115625344973017
Conditional (x0),0,3,-0.5831488997062814,2.4466236936859787,0.080633606122711,0.16118233306793367
Conditional (x0),0,4,-0.46952979571675457,2.4783213717682884,0.06448218721448398,0.12889649708505896
Conditional (x0),0,5,-0.362332582565319,2.2018385607225355,0.06522665180978184,0.13038464261304106
Conditional (x0),0,6,-0.2389604154258269,1.6823241573149517,0.057896057535957036,0.11573117063472753
Conditional (x0),0,7,-0.11770149305253053,1.16128398985893,0.0331277300468888,0.06622058810164373
Conditional (x0),0,8,-0.0036570109451441457,0.7529939921369078,0.02309400426727205,0.046163698570232996
Conditional (x0),0,9,0.11347391776703453,0.4601879027177347,0.013864943940913447,0.02771529291213354
Conditional (x0),0,10,0.22206539731427144,0.2896552018682996,0.0075996987191197535,0.015191397595401565
Conditional (x0),0,11,0.33592930825556744,0.17461729271417425,0.005738902905835177,0.011471764740437703
Conditional (x0),0,12,0.4674121600577569,0.09444406714465003,0.003341658739180977,0.006679799872504208
Conditional (x0),0,13,0.5841404894853871,0.0547631138658744,0.0013804172743518048,0.002759381448830346
Conditional (x0),0,14,0.6963498003906459,0.03241110562157701,0.0010707576105989053,0.0021403880853837595
Conditional (x0),0,15,0.8224971627896392,0.018204133311883197,0.0005905749248890088,0.0011805281795305832
Conditional (x0),0,16,0.9424988742262075,0.009685845725471154,0.00028909115491457764,0.000577877997264851
