Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Conditional (x0),0,0,-0.9,2.0404205179404897,0.10169940681821213,0.2014375408423013
Conditional (x0),0,1,-0.7,2.00310952650212,0.09983973835099268,0.197754067609382
Conditional (x0),0,2,-0.49999999999999994,2.0016987264243657,0.0997694207229424,0.1976147884285542
Conditional (x0),0,3,-0.29999999999999993,1.9998561054801078,0.09967758011686424,0.19743287836224557
Conditional (x0),0,4,-0.09999999999999998,1.9901853922762591,0.09919556879238826,0.19647815130042368
Conditional (x0),0,5,0.10000000000000009,0.062225223021713835,0.003101452967561184,0.00614309442276613
Conditional (x0),0,6,0.30000000000000016,0.007812287329263422,0.000389382963116575,0.0007712566768093003
Conditional (x0),0,7,0.5000000000000001,0.0077365857555307446,0.00038560981680868094,0.0007637831493101775
Conditional (x0),0,8,0.7000000000000001,0.007688363069326092,0.00038320628354724127,0.0007590224349199498
Conditional (x0),0,9,0.9,0.008563476913061025,0.00042682403686021,0.0008454167732874883
Linear (x1),1,0,-0.9,0.9378660855276036,0.046745474148313634,0.09441016167065451
Linear (x1),1,1,-0.7,1.0016928297491616,0.04992675073781889,0.10083527217827985
Linear (x1),1,2,-0.49999999999999994,0.9998235290063929,0.04983358034718965,0.10064709927379041
Linear (x1),1,3,-0.29999999999999993,0.9994673281523374,0.04981582645026148,0.10061124236336622
Linear (x1),1,4,-0.09999999999999998,0.9999875544761883,0.04984175576634199,0.100663610875351
Linear (x1),1,5,0.10000000000000009,0.9995239656248049,0.04981864939646453,0.10061694376681271
Linear (x1),1,6,0.30000000000000016,0.9990564349599573,0.049795346557237816,0.10056987985615906
Linear (x1),1,7,0.5000000000000001,0.9986318871706423,0.0497741860866585,0.10052714281081254
Linear (x1),1,8,0.7000000000000001,0.9990260187559981,0.04979383054136113,0.10056681801313316
Linear (x1),1,9,0.9,0.9988771205114533,0.04978640909905875,0.10055182919164055
