Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Oscillator (x0),0,0,-0.9166666666666667,5.671804751727905,0.14735960359406633,0.19629727353673207
Oscillator (x0),0,1,-0.75,6.9894350474442035,0.1815930595326076,0.24189955462719293
Oscillator (x0),0,2,-0.5833333333333334,3.093080198368625,0.08036155895130204,0.10704938486911855
Oscillator (x0),0,3,-0.4166666666666667,3.117628591553512,0.08099935267780396,0.10789898792543542
Oscillator (x0),0,4,-0.25000000000000006,3.1022264110447395,0.08059918741937092,0.10736592901866125
Oscillator (x0),0,5,-0.08333333333333337,1.4035498907105648,0.0364657396671835,0.04857589936172041
Oscillator (x0),0,6,0.08333333333333326,1.7575123024471395,0.04566206481656574,0.060826295734622324
Oscillator (x0),0,7,0.2499999999999999,1.257497837059418,0.0326711498192915,0.04352113792667163
Oscillator (x0),0,8,0.41666666666666663,0.6912268133874022,0.017958817990574555,0.02392288606586716
Oscillator (x0),0,9,0.5833333333333333,0.910026574274525,0.023643471719351133,0.03149539576827649
Oscillator (x0),0,10,0.7499999999999999,0.5180409857530321,0.013459263435115588,0.01792904331775907
Oscillator (x0),0,11,0.9166666666666666,0.3819264293269953,0.009922860481150642,0.013218211847942895
Linear (x1),1,0,-0.9166666666666667,0.8001722790140774,0.02078933866800565,0.08338955458938575
Linear (x1),1,1,-0.75,0.8001640253496588,0.02078912422890378,0.08338869443786884
Linear (x1),1,2,-0.5833333333333334,0.799848112364998,0.02078091646890013,0.08335577172388493
Linear (x1),1,3,-0.4166666666666667,0.7992171560999849,0.020764523544748555,0.08329001693171731
Linear (x1),1,4,-0.25000000000000006,0.8001253448242095,0.02078811926714178,0.08338466336621951
Linear (x1),1,5,-0.08333333333333337,0.799325977141052,0.020767350832741772,0.0833013576621857
Linear (x1),1,6,0.08333333333333326,0.799958033903536,0.020783772349004307,0.0833672271421477
Linear (x1),1,7,0.2499999999999999,0.7997605450782429,0.020778641376362764,0.08334664594281176
Linear (x1),1,8,0.41666666666666663,0.7997576858542742,0.020778567090640836,0.08334634797021326
Linear (x1),1,9,0.5833333333333333,0.7989389018803194,0.020757294200068475,0.08326101880712698
Linear (x1),1,10,0.7499999999999999,0.8006645202840444,0.020802127627003744,0.08344085326759501
Linear (x1),1,11,0.9166666666666666,0.7976610504556446,0.02072409424209484,0.08312784815884328
