Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Oscillator (x0),0,0,-0.9989092625363276,12.409537919211289,0.0041867797852386274,0.005562970517289979
Oscillator (x0),0,1,-0.9016906957495086,5.738790014220285,0.1706372123404356,0.2267255098415189
Oscillator (x0),0,2,-0.6982611804807495,5.3953170663589844,0.17907204600489662,0.23793286570940517
Oscillator (x0),0,3,-0.4920627168905961,4.35505383862278,0.1332232264978199,0.17701358066134276
Oscillator (x0),0,4,-0.291205279590721,2.472220964477856,0.07796940131698579,0.10359787307333171
Oscillator (x0),0,5,-0.07980548976022452,1.7216363653815847,0.05827983830168209,0.07743636848724449
Oscillator (x0),0,6,0.12260448844594272,1.2973076579214649,0.03730731998656814,0.04957020235363367
Oscillator (x0),0,7,0.3101653962126302,1.3413152117891514,0.03924466513426984,0.05214435110071547
Oscillator (x0),0,8,0.5009694125646884,0.7832732904944351,0.02331071904411778,0.030972931329338173
Oscillator (x0),0,9,0.7040844353933786,0.5354249367428565,0.017704550660370133,0.023524020463830626
Oscillator (x0),0,10,0.9047321552906363,0.3997133603661496,0.011590674698488415,0.015400518998043022
Oscillator (x0),0,11,0.9992394044877897,0.3800660266506384,8.941638075296083e-05,0.00011880746430592252
Linear (x1),1,0,-0.9995433210340348,0.8006387020031979,0.00011309720355256162,0.0004571723920949698
Linear (x1),1,1,-0.894365929179451,0.8003258244571042,0.025924100639231142,0.10479289257262628
Linear (x1),1,2,-0.6860122271549614,0.8005070996297546,0.025660640416649897,0.10372790832548383
Linear (x1),1,3,-0.4810157698949119,0.7995406349436961,0.025068380624704536,0.10133381884033141
Linear (x1),1,4,-0.2673213175496566,0.7993806732997654,0.027775218634922376,0.11227565974597112
Linear (x1),1,5,-0.06476381406666439,0.7994399638278081,0.022311272286681588,0.0901887703814353
Linear (x1),1,6,0.12137110052835746,0.8001641973010009,0.02373777549676347,0.09595511883567624
Linear (x1),1,7,0.310457099338567,0.8003187417671142,0.0230663459619288,0.09324100180252679
Linear (x1),1,8,0.5001138268753235,0.7992546670720911,0.023851890712896187,0.096416406336119
Linear (x1),1,9,0.6934622093770667,0.8002474373824952,0.02397808775209965,0.09692653214361642
Linear (x1),1,10,0.8943435413745051,0.7987368007889017,0.02569755042555136,0.10387710951288442
Linear (x1),1,11,0.9991778074649269,0.7855887815821915,0.00019978969339245844,0.000807609111234139
