Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Oscillator (x0),0,0,-0.9470054573320105,7.697670423567615,0.14951036204699497,0.16797892177729026
Oscillator (x0),0,1,-0.8319704452817642,4.633131925402267,0.10534903777787641,0.11836248360257637
Oscillator (x0),0,2,-0.7082860948774123,6.462314513733247,0.14600203063106007,0.16403721686521935
Oscillator (x0),0,3,-0.5831488997062814,2.839101123086607,0.06606777630677592,0.07422892752240837
Oscillator (x0),0,4,-0.46952979571675457,5.051182970561285,0.09279726169289455,0.10426022484085593
Oscillator (x0),0,5,-0.362332582565319,1.5831259588594548,0.03311425627381343,0.03720475951080643
Oscillator (x0),0,6,-0.2389604154258269,3.4198383438877045,0.08310072445703345,0.09336590388843045
Oscillator (x0),0,7,-0.11770149305253053,1.2225241198038361,0.0246246801793765,0.027666491934131555
Oscillator (x0),0,8,-0.0036570109451441457,2.1839636332288137,0.047294763210553245,0.053136941286543206
Oscillator (x0),0,9,0.11347391776703453,1.2726144632324576,0.02707320658913731,0.030417477354965184
Oscillator (x0),0,10,0.22206539731427144,1.1167532615985465,0.020688652037847255,0.023244258222388344
Oscillator (x0),0,11,0.33592930825556744,1.3758235397176577,0.031927453778618935,0.03587135491746657
Oscillator (x0),0,12,0.4674121600577569,0.5868320045010478,0.014660916787071557,0.016471935191921725
Oscillator (x0),0,13,0.5841404894853871,1.029325599688491,0.01832039982130229,0.02058346302140517
Oscillator (x0),0,14,0.6963498003906459,0.35770991644312744,0.00834426765182081,0.00937500962463995
Oscillator (x0),0,15,0.8224971627896392,0.7074476151558429,0.01620537948807926,0.018207180667141477
Oscillator (x0),0,16,0.9424988742262075,0.23597878282544116,0.004973133709062764,0.005587449771809644
Linear (x1),1,0,-0.9346282849577736,0.2994398982991697,0.007174313944244252,0.06525324868019149
Linear (x1),1,1,-0.8024671430148355,0.29929674383311067,0.007326398557248101,0.06663651893430862
Linear (x1),1,2,-0.6782329102387653,0.3002613453872982,0.006321658395492395,0.05749800615893449
Linear (x1),1,3,-0.5596208955087012,0.29972205481954006,0.0067192097208254,0.06111389413048142
Linear (x1),1,4,-0.42739804335675324,0.29974854101055826,0.00780614268469859,0.07099998324527639
Linear (x1),1,5,-0.30651662330557305,0.30020251386986274,0.005482128791631557,0.049862149345188
Linear (x1),1,6,-0.18457563055109516,0.29900773990121365,0.007902967040051494,0.07188063940100695
Linear (x1),1,7,-0.05688910597744312,0.2994804759737235,0.006099580536388429,0.055478119396367924
Linear (x1),1,8,0.0559942894929909,0.30045359338259914,0.006311091210927966,0.05740189339782714
Linear (x1),1,9,0.1733382553503926,0.3003000019319302,0.006607209893750856,0.060095211002724386
Linear (x1),1,10,0.2881142382365095,0.2986796744153253,0.0059927181501226185,0.054506163343182396
Linear (x1),1,11,0.40457169636878443,0.3005487407392593,0.006797901945863851,0.06182963132424491
Linear (x1),1,12,0.5317467700477213,0.29978588997892075,0.007192492677918564,0.06541859151831646
Linear (x1),1,13,0.6463252587962208,0.30055035153964127,0.00541038119266454,0.04920957629723023
Linear (x1),1,14,0.7485041287429266,0.30003518070031987,0.005834954206137261,0.053071237307097306
Linear (x1),1,15,0.8475113843148684,0.30079927881843105,0.005065208680294586,0.04607009453461331
Linear (x1),1,16,0.9467282696079524,0.30225465366129356,0.005901339932420723,0.05367504198300855
