Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Oscillator (x0),0,0,-0.999885629048487,2.034325008182236,7.415165163815807e-05,9.997593540378564e-05
Oscillator (x0),0,1,-0.9092850035279365,2.539804728485251,0.07324326506594152,0.09875119131165468
Oscillator (x0),0,2,-0.710783782148799,3.024760900416368,0.10412613387340568,0.14038942362028997
Oscillator (x0),0,3,-0.5064759172248485,2.8110994605867745,0.08626909184964202,0.11631343285770811
Oscillator (x0),0,4,-0.30327336340932115,1.6265091701050949,0.05541893858882925,0.0747193097132851
Oscillator (x0),0,5,-0.09376671934468701,3.4440237413946306,0.11261221632172756,0.1518308954141299
Oscillator (x0),0,6,0.10533344229378751,2.8102476662184017,0.08643128041170077,0.11653210571050908
Oscillator (x0),0,7,0.2929378552663371,1.3256730170496667,0.03848978278391419,0.051894353696771305
Oscillator (x0),0,8,0.4916640580540804,0.37657157463399926,0.012916513628699822,0.017414858653269607
Oscillator (x0),0,9,0.702495342677375,1.982407673040143,0.06520546943765639,0.08791412809364883
Oscillator (x0),0,10,0.9013713967297545,3.4511326703068335,0.10522549353356427,0.14187164967920332
Oscillator (x0),0,11,0.9985205646247753,3.56875671201351,0.0016826651423040844,0.0022686753141264713
Linear (x1),1,0,-0.9992356149106381,0.523206836078316,0.00012745896077586398,0.000493443649582347
Linear (x1),1,1,-0.8857175287091401,0.8774615707807243,0.031531430082784265,0.12207053817079272
Linear (x1),1,2,-0.6676193405788482,0.7357661957030359,0.024702243582777502,0.0956320775892127
Linear (x1),1,3,-0.45415699326361664,0.8229668310377747,0.028357277330966327,0.10978214739265697
Linear (x1),1,4,-0.24433069764858525,0.7412110790028237,0.024026119454251763,0.09301453578972235
Linear (x1),1,5,-0.0388819732177466,0.6758146355423378,0.022343942409599214,0.086502168396294
Linear (x1),1,6,0.15553736276467817,0.7630109507772431,0.022050704749726327,0.08536693035416755
Linear (x1),1,7,0.3524893725803644,0.9210782081936486,0.031196369325426875,0.12077338650773314
Linear (x1),1,8,0.5615641218931632,0.7875278242863715,0.02580187844426785,0.09988919561338952
Linear (x1),1,9,0.7455043352593532,1.0191724868491292,0.026354757939646905,0.10202960907917032
Linear (x1),1,10,0.9052664111564195,0.7848022505640984,0.01966519203966268,0.07613167462468742
Linear (x1),1,11,0.991945030026975,0.836583785712719,0.0021476233910907843,0.008314292832590917
