Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Oscillator (x0),0,0,-0.925334127386606,2.1588378878334424,0.050616810055344116,0.0689362674205448
Oscillator (x0),0,1,-0.7642728016259301,2.898600087064551,0.07863787753217578,0.10709884224262317
Oscillator (x0),0,2,-0.5865822119683008,3.345700679346919,0.09591517472957807,0.13062921443719816
Oscillator (x0),0,3,-0.42177362273016517,1.9240248407825788,0.044415043432265544,0.060489930285887394
Oscillator (x0),0,4,-0.25714601993926656,2.087855261834193,0.05973636777780966,0.08135641537585052
Oscillator (x0),0,5,-0.07900159516338266,3.5357248044931566,0.09662764722558256,0.13159954809632537
Oscillator (x0),0,6,0.0850842547223867,2.9628087254707225,0.07169028005376568,0.09763673988614693
Oscillator (x0),0,7,0.24114737212205134,1.7775890512439219,0.04410141397530901,0.060062790683607516
Oscillator (x0),0,8,0.41121121292467977,0.566760269293809,0.016205483229005637,0.02207064262509641
Oscillator (x0),0,9,0.5771792270455202,0.6729327026278042,0.015829746958359325,0.021558918239372553
Oscillator (x0),0,10,0.7461580054115587,2.5075046664824185,0.07406822361128305,0.10087531918051067
Oscillator (x0),0,11,0.9201125341163582,3.444595654400473,0.0864110912841676,0.1176853715268365
Linear (x1),1,0,-0.9087896951650921,0.9156086889561266,0.026224451172228918,0.09868282356440791
Linear (x1),1,1,-0.7238466368882467,0.8611142675363226,0.025345727143516922,0.09537617788028313
Linear (x1),1,2,-0.5486912502663717,0.7575603376608342,0.019369346465016177,0.07288700866271057
Linear (x1),1,3,-0.38019312298613395,0.8992631364890258,0.024588686715964706,0.09252742857938748
Linear (x1),1,4,-0.1988848860602313,0.7739125067018904,0.022900570032406437,0.08617503173624107
Linear (x1),1,5,-0.020099523890276846,0.7602902542203083,0.020186409777027934,0.07596162456718343
Linear (x1),1,6,0.14589871582141567,0.850200353852415,0.021744108800010327,0.0818232586903107
Linear (x1),1,7,0.3034757629462938,0.9537559890304692,0.022800997258399566,0.08580033857585401
Linear (x1),1,8,0.46681629619139664,0.7739046850474551,0.021193462127304767,0.07975117077159477
Linear (x1),1,9,0.6344863572202872,0.7575785275548697,0.019141035672162708,0.07202787328782545
Linear (x1),1,10,0.7821931007511442,0.8965289453044534,0.018931368304933756,0.07123889327556196
Linear (x1),1,11,0.924719444870338,0.9864350431598723,0.02331867666638177,0.08774837040863966
