Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Exponent (x0),0,0,-0.9230769230769231,12.728774425141633,0.21145811858423177,0.26970456310200264
Exponent (x0),0,1,-0.7692307692307692,9.348104209919812,0.15529637516826253,0.1980729862561266
Exponent (x0),0,2,-0.6153846153846154,6.900381626058296,0.11463332347829344,0.14620923818220868
Exponent (x0),0,3,-0.4615384615384615,5.055925876752536,0.08399210622255392,0.10712785332830496
Exponent (x0),0,4,-0.30769230769230765,3.719013762323267,0.061782511568154605,0.07880059371282094
Exponent (x0),0,5,-0.1538461538461538,2.7481926283570335,0.045654642253035845,0.058230279475074496
Exponent (x0),0,6,1.1102230246251565e-16,2.0082379917638025,0.03336206717348789,0.04255169681565577
Exponent (x0),0,7,0.15384615384615397,1.474329287008192,0.024492452045391244,0.031238933375677815
Exponent (x0),0,8,0.3076923076923077,1.083788458203317,0.01800455100078722,0.022963930607283585
Exponent (x0),0,9,0.46153846153846156,0.7944929741828843,0.013198599011800314,0.016834172193857647
Exponent (x0),0,10,0.6153846153846155,0.5825646816903877,0.00967791771850027,0.012343714147657626
Exponent (x0),0,11,0.7692307692307694,0.4337793180021198,0.0072062050439281565,0.009191164642949865
Exponent (x0),0,12,0.9230769230769231,0.31766529229644447,0.0052772484455249295,0.006730874160379281
Linear (x1),1,0,-0.9230769230769231,1.0000000000013145,0.016612606329706157,0.07692307692312406
Linear (x1),1,1,-0.7692307692307692,1.0000000000009894,0.016612606329700755,0.07692307692309905
Linear (x1),1,2,-0.6153846153846154,1.0000000000011084,0.016612606329702732,0.07692307692310821
Linear (x1),1,3,-0.4615384615384615,1.0000000000009133,0.016612606329699492,0.07692307692309319
Linear (x1),1,4,-0.30769230769230765,1.000000000000786,0.01661260632969738,0.07692307692308341
Linear (x1),1,5,-0.1538461538461538,0.999999999999909,0.016612606329682807,0.07692307692301593
Linear (x1),1,6,1.1102230246251565e-16,1.0000000000001226,0.016612606329686367,0.07692307692303242
Linear (x1),1,7,0.15384615384615397,0.9999999999995445,0.01661260632967674,0.07692307692298785
Linear (x1),1,8,0.3076923076923077,1.0000000000006857,0.0166126063296957,0.07692307692307564
Linear (x1),1,9,0.46153846153846156,1.0000000000011626,0.016612606329703645,0.07692307692311243
Linear (x1),1,10,0.6153846153846155,1.0000000000009241,0.016612606329699683,0.07692307692309408
Linear (x1),1,11,0.7692307692307694,1.0000000000008376,0.01661260632969822,0.07692307692308731
Linear (x1),1,12,0.9230769230769231,1.0000000000008265,0.016612606329698038,0.07692307692308646
