Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Exponent (x0),0,0,-0.9166666666666667,12.232130393385887,0.22213313792611378,0.28369093721947386
Exponent (x0),0,1,-0.75,9.072921238839626,0.164762506621879,0.21042168835582686
Exponent (x0),0,2,-0.5833333333333334,6.627815309911965,0.12035985270248246,0.15371411818853623
Exponent (x0),0,3,-0.4166666666666667,4.7260429710149765,0.08582403239364257,0.10960769029340163
Exponent (x0),0,4,-0.25000000000000006,3.347365418449044,0.060787512908421944,0.07763302076058141
Exponent (x0),0,5,-0.08333333333333337,2.3638756829313934,0.04292752825793236,0.05482365592863048
Exponent (x0),0,6,0.08333333333333326,1.6374500319216168,0.02973577799535553,0.037976192148595746
Exponent (x0),0,7,0.2499999999999999,1.1379568135794216,0.020665077112117763,0.026391807851736997
Exponent (x0),0,8,0.41666666666666663,0.7896081797298393,0.014339132845604455,0.018312810388682904
Exponent (x0),0,9,0.5833333333333333,0.542074371878698,0.009843966450836017,0.012571938137945092
Exponent (x0),0,10,0.7499999999999999,0.3761265674029346,0.006830386203189004,0.008723230948991405
Exponent (x0),0,11,0.9166666666666666,0.2644376053240194,0.004802136109344742,0.006132909777597546
Linear (x1),1,0,-0.9166666666666667,0.7767885222165204,0.014106330328055142,0.06500944019168516
Linear (x1),1,1,-0.75,0.8184911933994953,0.014863642824885955,0.06849953721367415
Linear (x1),1,2,-0.5833333333333334,0.856639235280454,0.015556403936501992,0.07169214726925742
Linear (x1),1,3,-0.4166666666666667,0.8964124148747031,0.01627867723677244,0.07502076511840831
Linear (x1),1,4,-0.25000000000000006,0.936422414454796,0.01700525114248834,0.07836920243484743
Linear (x1),1,5,-0.08333333333333337,0.975601602704046,0.017716737674050315,0.08164810914163123
Linear (x1),1,6,0.08333333333333326,1.0154319170396775,0.018440048530247617,0.08498150859793321
Linear (x1),1,7,0.2499999999999999,1.0559218935668468,0.019175338725110028,0.08837011519049064
Linear (x1),1,8,0.41666666666666663,1.0952906450256705,0.019890267688139267,0.09166488644442317
Linear (x1),1,9,0.5833333333333333,1.134563353843987,0.020603452535268428,0.09495161988868751
Linear (x1),1,10,0.7499999999999999,1.173687633126974,0.02131394193055211,0.09822593126346511
Linear (x1),1,11,0.9166666666666666,1.21360644698143,0.022038859921008902,0.10156673724549649
