Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Exponent (x0),0,0,-0.9996086150952771,14.766600723297273,0.001247862838847556,0.0015914886660463288
Exponent (x0),0,1,-0.8899079981777825,11.946028588667158,0.28194385985325304,0.3595831556553171
Exponent (x0),0,2,-0.6868282777107958,7.982054017762916,0.16160808683761954,0.2061103436504552
Exponent (x0),0,3,-0.508984204377819,5.563739991214645,0.1009970387254125,0.12880874198015305
Exponent (x0),0,4,-0.32474551214323144,3.8598093218885774,0.08347656304948571,0.10646362712143237
Exponent (x0),0,5,-0.12447616612194784,2.6032785636772484,0.05626720691559336,0.07176159052781124
Exponent (x0),0,6,0.07589671251579692,1.730191943344881,0.03745774750986899,0.04777254259180981
Exponent (x0),0,7,0.2719170516638104,1.166477763901995,0.024115995946337117,0.030756853256773218
Exponent (x0),0,8,0.4704596999921469,0.7847439732995195,0.017416669614542805,0.02221272356937664
Exponent (x0),0,9,0.6779858224476972,0.5163260977898367,0.011676128904986855,0.0148914017126626
Exponent (x0),0,10,0.891098313222449,0.3360129830282451,0.007862790489196332,0.01002797868282504
Exponent (x0),0,11,0.9997378153471302,0.2708182809329376,1.533089437993483e-05,1.955258533746617e-05
Linear (x1),1,0,-0.9994588571582252,1.0000000000007887,0.0001168407043070797,0.0005411428417748806
Linear (x1),1,1,-0.901940100806556,1.0000000000008917,0.020938894114083468,0.09697761350991682
Linear (x1),1,2,-0.7036946462582079,1.0000000000008809,0.021865217382872136,0.10126784103847618
Linear (x1),1,3,-0.48841604931155,1.0000000000009783,0.024616600258833346,0.11401075590824025
Linear (x1),1,4,-0.2752569130073892,1.0000000000003118,0.02140759463503183,0.09914838039592229
Linear (x1),1,5,-0.06744721339402304,0.999999999999848,0.023461578142005377,0.1086613192173211
Linear (x1),1,6,0.1322015455550131,0.9999999999993845,0.019645527429429193,0.09098743973151072
Linear (x1),1,7,0.31410204818195697,1.0000000000008917,0.019629468375789997,0.09091306289533818
Linear (x1),1,8,0.5089646688821593,1.0000000000007072,0.02244423950337587,0.1039495578048901
Linear (x1),1,9,0.7088827553640785,1.0000000000012386,0.020721017846541182,0.09596852867708949
Linear (x1),1,10,0.9020947165669619,1.0000000000014446,0.020996288352075853,0.09724343252592578
Linear (x1),1,11,0.9996690745464057,1.0000000000005556,7.145167613096452e-05,0.00033092545359422054
