Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Exponent (x0),0,0,-0.925334127386606,12.783238118297756,0.20610193741865626,0.2628626655583957
Exponent (x0),0,1,-0.7642728016259301,9.265011959649275,0.17284464208339312,0.2204462700087887
Exponent (x0),0,2,-0.5865822119683008,6.529162514609816,0.12871352120409071,0.16416138392909513
Exponent (x0),0,3,-0.42177362273016517,4.667698213349547,0.07409495534871953,0.09450079757295718
Exponent (x0),0,4,-0.25714601993926656,3.367409776313962,0.066252282836282,0.08449824336341931
Exponent (x0),0,5,-0.07900159516338266,2.3706398122080357,0.044550745776850885,0.05682007619234254
Exponent (x0),0,6,0.0850842547223867,1.6940174954554705,0.02818649070311336,0.03594908505836608
Exponent (x0),0,7,0.24114737212205134,1.238362411122275,0.021126879902502827,0.026945248723320804
Exponent (x0),0,8,0.41121121292467977,0.8822994322150295,0.017347825404318788,0.022125437948494083
Exponent (x0),0,9,0.5771792270455202,0.6303805786805075,0.010196981185393762,0.01300524239904008
Exponent (x0),0,10,0.7461580054115587,0.44869887359505595,0.009114054337339953,0.011624076159413996
Exponent (x0),0,11,0.9201125341163582,0.3209599024655836,0.005536667906178942,0.007061473086366423
Linear (x1),1,0,-0.9087896951650921,1.0000000000007723,0.019695316203540234,0.09121030483492691
Linear (x1),1,1,-0.7238466368882467,1.000000000000805,0.020239996138692422,0.09373275344196014
Linear (x1),1,2,-0.5486912502663717,1.0000000000009135,0.017581834744512533,0.08142263317996601
Linear (x1),1,3,-0.38019312298613395,1.000000000000946,0.01880247405147204,0.08707549410033338
Linear (x1),1,4,-0.1988848860602313,0.9999999999994822,0.020347960354194883,0.09423274282550063
Linear (x1),1,5,-0.020099523890276846,1.0000000000000873,0.018257702096683547,0.08455261934431163
Linear (x1),1,6,0.14589871582141567,0.999999999999596,0.01758679843719221,0.08144562036726177
Linear (x1),1,7,0.3034757629462938,1.0000000000008293,0.01643928858400866,0.07613142675755775
Linear (x1),1,8,0.46681629619139664,1.000000000000664,0.018831325377209603,0.08720910648757403
Linear (x1),1,9,0.6344863572202872,1.0000000000011302,0.017374176575760656,0.08046095454137087
Linear (x1),1,10,0.7821931007511442,1.0000000000008267,0.014520586022628436,0.06724578898954933
Linear (x1),1,11,0.924719444870338,1.0000000000009024,0.01625555730726473,0.07528055512968758
