Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Exponent (x0),0,0,-0.9996086150952771,14.004786498844622,0.0011941979121872753,0.0015251210842885223
Exponent (x0),0,1,-0.8899079981777825,11.684931814670563,0.27827793327009703,0.3553912956899421
Exponent (x0),0,2,-0.6868282777107958,8.104555308818817,0.16557360794257292,0.21145557021819605
Exponent (x0),0,3,-0.508984204377819,5.696044536307454,0.1043346794450194,0.13324677410684466
Exponent (x0),0,4,-0.32474551214323144,3.920160816051066,0.08554922664700298,0.10925570039303573
Exponent (x0),0,5,-0.12447616612194784,2.5910463591571897,0.0565097510698305,0.07216912033168828
Exponent (x0),0,6,0.07589671251579692,1.669606444920646,0.03647329342371737,0.046580376875780295
Exponent (x0),0,7,0.2719170516638104,1.088200610865897,0.022701324602563792,0.028992069437832262
Exponent (x0),0,8,0.4704596999921469,0.7026194936088359,0.015735147371925128,0.020095500734342898
Exponent (x0),0,9,0.6779858224476972,0.4428904048836557,0.0101061227958919,0.012906621925165883
Exponent (x0),0,10,0.891098313222449,0.27744067097046354,0.006550949734499492,0.008366277867543848
Exponent (x0),0,11,0.9997378153471302,0.21344934673095395,1.2192642501744946e-05,1.5571335339671444e-05
Linear (x1),1,0,-0.9994588571582252,0.7576872178560733,8.933005934373565e-05,0.00041169421923767044
Linear (x1),1,1,-0.901940100806556,0.78292240459632,0.016541921575201127,0.07623652707302019
Linear (x1),1,2,-0.7036946462582079,0.8275681238956166,0.01825875029088124,0.08414885202678507
Linear (x1),1,3,-0.48841604931155,0.8791317895884275,0.021837129689919955,0.10064048008173404
Linear (x1),1,4,-0.2752569130073892,0.9304168600010597,0.020098282190944842,0.09262667746340929
Linear (x1),1,5,-0.06744721339402304,0.979951261115275,0.023199316679178492,0.10691837257524031
Linear (x1),1,6,0.1322015455550131,1.0275594831909984,0.020369677825609195,0.09387745480239791
Linear (x1),1,7,0.31410204818195697,1.071077713277191,0.021214999017876796,0.09777327498669369
Linear (x1),1,8,0.5089646688821593,1.1171679943799973,0.02530095272195029,0.1166041537793178
Linear (x1),1,9,0.7088827553640785,1.1642201570793986,0.02434219261486759,0.11218552922425289
Linear (x1),1,10,0.9020947165669619,1.2102187611162663,0.025640111249869094,0.11816722903500576
Linear (x1),1,11,0.9996690745464057,1.233164221048355,8.890922654827727e-05,0.0004097547329054251
