Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Exponent (x0),0,0,-0.925334127386606,12.403726577758787,0.20184867515078045,0.2577883777077712
Exponent (x0),0,1,-0.7642728016259301,9.316264186054468,0.17542208006488644,0.2240379997553577
Exponent (x0),0,2,-0.5865822119683008,6.674230098724364,0.1328007083253622,0.16960467603795246
Exponent (x0),0,3,-0.42177362273016517,4.768784856423736,0.07640576431511435,0.09758061585295219
Exponent (x0),0,4,-0.25714601993926656,3.4017866710200906,0.06755297461066907,0.08627439204745906
Exponent (x0),0,5,-0.07900159516338266,2.343060987186618,0.044443220443555385,0.05676007380130033
Exponent (x0),0,6,0.0850842547223867,1.6316522305714898,0.02740206167451964,0.03499618226201371
Exponent (x0),0,7,0.24114737212205134,1.1588329641654127,0.019954505347294142,0.025484633761392875
Exponent (x0),0,8,0.41121121292467977,0.7981349085639522,0.015839368857731077,0.020229041378147978
Exponent (x0),0,9,0.5771792270455202,0.5523899972104118,0.009018766075183213,0.011518198341954161
Exponent (x0),0,10,0.7461580054115587,0.38036532146179525,0.007798122843784022,0.00995926991130029
Exponent (x0),0,11,0.9201125341163582,0.2593269158523981,0.004515208546048694,0.0057665391423980155
Linear (x1),1,0,-0.9087896951650921,0.7788128414176753,0.015482054248391998,0.07134635090722187
Linear (x1),1,1,-0.7238466368882467,0.8243078127634361,0.016839623015692848,0.07760247015978107
Linear (x1),1,2,-0.5486912502663717,0.8652012525089957,0.015353728496493128,0.07075498402666978
Linear (x1),1,3,-0.38019312298613395,0.9045795763995556,0.01716699574280999,0.07911111036292336
Linear (x1),1,4,-0.1988848860602313,0.9486436823635812,0.01948303115597166,0.08978415624235807
Linear (x1),1,5,-0.020099523890276846,0.990811713563744,0.0182586966065894,0.08414202368122624
Linear (x1),1,6,0.14589871582141567,1.0302661394234747,0.01828810624852399,0.0842775528945888
Linear (x1),1,7,0.3034757629462938,1.0675095836631954,0.017712804343667368,0.08162637425104691
Linear (x1),1,8,0.46681629619139664,1.1072464985772967,0.021045426256353278,0.09698418198178013
Linear (x1),1,9,0.6344863572202872,1.1464813724160194,0.020104985179000258,0.09265032304834026
Linear (x1),1,10,0.7821931007511442,1.1816533515229821,0.017318359814941453,0.07980864533029752
Linear (x1),1,11,0.924719444870338,1.2156087905168533,0.019944732636635987,0.091911827113766
