Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Zero-effect (x2),2,0,-0.9997844622317924,15.979916133801453,0.00020235935828443827,0.0011122390226903619
Zero-effect (x2),2,1,-0.9071896361294722,9.906585523822287,0.05376801723182098,0.29552815073597727
Zero-effect (x2),2,2,-0.7152345267261165,4.771261706082441,0.027913387899108518,0.15342191011123077
Zero-effect (x2),2,3,-0.5201245704443708,1.8579848074296024,0.010428603394985199,0.05731931424569909
Zero-effect (x2),2,4,-0.323092799212847,0.5422032700153068,0.0032332811911963666,0.01777126367007227
Zero-effect (x2),2,5,-0.13096265690307857,0.16306039469782263,0.0008682761967118625,0.0047723548673181005
Zero-effect (x2),2,6,0.06600223297108818,0.1431320924893953,0.0008941862468568386,0.004914765720443061
Zero-effect (x2),2,7,0.2881051289675817,0.41941952986235265,0.0028528045651973195,0.01568002877861309
Zero-effect (x2),2,8,0.5048763965805152,1.68824026332004,0.010018075282360511,0.055062905692896735
Zero-effect (x2),2,9,0.7069785269287746,4.593727567225869,0.027286492564249528,0.14997627033215696
Zero-effect (x2),2,10,0.9038839460191446,7.891370478319004,0.04441827517436815,0.24413864220743586
Zero-effect (x2),2,11,0.9998439949805573,5.9977783166687,5.49736278273952e-05,0.00030215461546651766
Oscillator (x1),1,0,-0.9999449081633407,0.6274718998611206,2.03098608961779e-06,2.482682130157413e-06
Oscillator (x1),1,1,-0.8794906637996148,14.291865954874083,0.10109688642464176,0.12358106962133136
Oscillator (x1),1,2,-0.6501178113558643,16.25953973416472,0.10410111000916844,0.12725343953387244
Oscillator (x1),1,3,-0.45114407866700756,7.19281961210072,0.038033584050724434,0.046492341799516404
Oscillator (x1),1,4,-0.26515223273057287,20.59320941043552,0.11614048813427703,0.14197040341767733
Oscillator (x1),1,5,-0.08596749496454807,10.65562383928409,0.05208236405422645,0.06366560322336547
Oscillator (x1),1,6,0.091754076482453,11.466443788776814,0.06368213332746178,0.07784518822191656
Oscillator (x1),1,7,0.2838095690245389,20.36641708400566,0.11669821890332252,0.1426521748098235
Oscillator (x1),1,8,0.48841267903631636,6.1714439652860165,0.03882445941054713,0.04745910968288636
Oscillator (x1),1,9,0.7045289798790497,19.545716531865764,0.12521691520611744,0.1530654490273574
Oscillator (x1),1,10,0.9062517814185636,11.40957440384227,0.06212892549271387,0.07594654334420853
Oscillator (x1),1,11,0.9994672732151368,1.7301297702942975,5.41512677426182e-05,6.619463591464971e-05
