Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Zero-effect (x2),2,0,-0.9524336435632901,11.537357477209298,0.03227476113036652,0.17639864583670245
Zero-effect (x2),2,1,-0.8687904711296708,8.572099795856047,0.018187467128983757,0.09940413067019466
Zero-effect (x2),2,2,-0.8297072537996855,6.86341309119598,0.0012135114981698411,0.006632482394517942
Zero-effect (x2),2,3,-0.7365088124743358,5.302529825712554,0.028126010313197763,0.1537235275575491
Zero-effect (x2),2,4,-0.5290671204921061,1.8703817659115884,0.0128972947134249,0.07049053944087787
Zero-effect (x2),2,5,-0.34868304050755855,0.600041494180914,0.0022279443333423896,0.012176894565189588
Zero-effect (x2),2,6,-0.19235017118761738,0.19066251297772396,0.0010450348258975448,0.005711668241196602
Zero-effect (x2),2,7,-0.06908771653150989,0.1584019628353417,0.0002800685324914009,0.001530722711576412
Zero-effect (x2),2,8,-0.023991696535372992,0.13069202395854518,0.00011553746779151053,0.0006314733912204986
Zero-effect (x2),2,9,0.06920674478997654,0.1422884906787658,0.000654104109317327,0.003575025037481618
Zero-effect (x2),2,10,0.2525972261075999,0.3418983396841213,0.0021157716476430492,0.011563811488375972
Zero-effect (x2),2,11,0.3638340754314042,0.5799526888949913,0.00020508142144943492,0.0011208784747878179
Zero-effect (x2),2,12,0.381872483429859,0.6229747668839991,0.00044058956244561647,0.002408055070377197
Zero-effect (x2),2,13,0.4089300954275412,0.6498989478131989,0.0005745391071035936,0.003140160203322041
Zero-effect (x2),2,14,0.4630453194229055,0.9687975989436381,0.002226794618253557,0.012170610763926155
Zero-effect (x2),2,15,0.5051349380859665,1.4676254522782983,0.0002594890235633458,0.0014182448068684604
Zero-effect (x2),2,16,0.5622565634144066,2.5062705844902666,0.007976350303421247,0.04359497461683305
Zero-effect (x2),2,17,0.6464358007405289,3.5263379686512053,0.006234874128267412,0.0340768859216704
Zero-effect (x2),2,18,0.7486534460651056,5.547982453890654,0.023542364395032857,0.12867147745272353
Zero-effect (x2),2,19,0.8418518873904552,7.885564536991296,0.009759657732435926,0.053341693246850945
Zero-effect (x2),2,20,0.889954308719668,8.109332065941999,0.012904207886610826,0.07052832359003101
Zero-effect (x2),2,21,0.958505960358675,8.074204379227012,0.01970344915209941,0.10768977451772664
Oscillator (x1),1,0,-0.961621586059118,5.9603155818876985,0.013452812195097414,0.016465403071433703
Oscillator (x1),1,1,-0.8030131395535907,18.87982316475245,0.1334958265205844,0.16339056549207218
Oscillator (x1),1,2,-0.6737658545465972,19.556431652745232,0.010371000238566446,0.012693457450046198
Oscillator (x1),1,3,-0.6316853431489713,16.196296201087534,0.03149330004279743,0.03854583500713957
Oscillator (x1),1,4,-0.4994323073278615,6.581319030374289,0.03839163948243282,0.04698897223004365
Oscillator (x1),1,5,-0.2649837438268033,19.10830214910675,0.15200028026521512,0.1860388627479486
Oscillator (x1),1,6,0.0025280786295323043,8.875929405149918,0.06903610663685059,0.08449588872373262
Oscillator (x1),1,7,0.1738558750341518,18.564147103461437,0.042660714847278555,0.0522140542132835
Oscillator (x1),1,8,0.2550111470152874,22.243430339585757,0.05504775029794309,0.06737501302230173
Oscillator (x1),1,9,0.5285344710998553,12.829579191020457,0.17462761072556476,0.2137333039589811
Oscillator (x1),1,10,0.8799886418933986,13.666564382219804,0.09645805571636007,0.11805864408301715
