Interval_Label,Primary (x0),Oscillator (x1),Zero-effect (x2)
0.10 < x2 <= 0.14,3.6279008,4.2076597,51.16476
0.14 < x2 <= 0.17,3.3253677,4.2759256,52.224873
0.17 < x2 <= 0.17,10.092964,10.987568,134.27713
0.17 < x2 <= 0.24,3.03212,6.287904,19.343212
0.24 < x2 <= 0.34,3.0513682,5.855913,10.569519
0.34 < x2 <= 0.39,3.1755166,6.495492,8.5488405
0.39 < x2 <= 0.46,3.5525496,5.7618637,1.883729
0.46 < x2 <= 0.48,3.6949449,7.345546,2.8157833
0.48 < x2 <= 0.50,2.356742,5.965859,2.306927
0.50 < x2 <= 0.56,3.4956882,5.8700786,1.4893323
0.56 < x2 <= 0.64,3.8078709,5.9654436,4.951663
0.64 < x2 <= 0.65,2.9130664,5.641736,5.6510544
0.65 < x2 <= 0.66,3.096297,6.437385,6.740106
0.66 < x2 <= 0.67,3.6961937,4.994451,6.4486775
0.67 < x2 <= 0.70,2.7753444,8.579032,7.027343
0.70 < x2 <= 0.70,4.0001755,4.4626307,6.9103365
0.70 < x2 <= 0.75,2.567403,5.9679775,7.473144
0.75 < x2 <= 0.77,3.059313,7.403344,6.491481
0.77 < x2 <= 0.83,2.3969824,5.147544,17.566898
0.83 < x2 <= 0.84,4.762295,6.762415,49.98437
0.84 < x2 <= 0.87,2.9827828,5.177665,45.393913
0.87 < x2 <= 0.90,3.6504023,3.5012105,43.737988
