feature,feat_idx,branch,raw_point_spline,raw_point_symbolic,matched,added,dropped,drift,drift_frac,sym_edge_names,status
Primary (x0),0,spline,-0.724305532105559,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Primary (x0),0,spline,-0.27967473530992354,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Primary (x0),0,spline,0.2911350713871763,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Primary (x0),0,spline,0.7177402953397454,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Oscillator (x1),1,spline,-1.187776366310417,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Oscillator (x1),1,spline,-1.0735413467502708,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Oscillator (x1),1,spline,-0.32199516543351825,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Oscillator (x1),1,spline,0.008685154345853116,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Oscillator (x1),1,spline,0.33335310467469015,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Oscillator (x1),1,spline,0.6459963161024591,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Zero-effect (x2),2,symbolic,,1.0913831980357462,0,1,0,,,"1/x^2, cos, sin, tanh, x^3",ok
Zero-effect (x2),2,spline,-0.2614974018483606,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
Zero-effect (x2),2,spline,0.2736420354391304,,0,0,1,,,"1/x^2, cos, sin, tanh, x^3",ok
