Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Log (x0),0,0,-0.9999089996805719,13.81951650596803,0.00010263515342701475,0.00020311359848640254
Log (x0),0,1,-0.9120444220278432,12.328106456422782,0.08831216771554201,0.17476860097056288
Log (x0),0,2,-0.7344502139795759,9.675285275388994,0.0709251478039857,0.14035992067661018
Log (x0),0,3,-0.5455163606819038,7.813754238357104,0.06320504061235507,0.12508193160527392
Log (x0),0,4,-0.3423285443646462,6.525559748270281,0.055427190406051555,0.10968966987875033
Log (x0),0,5,-0.13771342716335203,5.736728442651121,0.047072341800887464,0.09315553602362117
Log (x0),0,6,0.06643684541109479,5.142857243625211,0.04348760210783965,0.08606138402617955
Log (x0),0,7,0.26722637771917157,4.627769982522853,0.036703549081456614,0.07263583365185196
Log (x0),0,8,0.4682858282185345,4.202298999900298,0.03562688648719664,0.07050513275090424
Log (x0),0,9,0.6858833811452858,3.7969942454881607,0.03523944705932305,0.06973839529533177
Log (x0),0,10,0.8994172298750156,3.5721269039413857,0.029099615526967385,0.05758775065753855
Log (x0),0,11,0.9996165964884925,3.43535153835518,0.00010749484583628731,0.000212730864889052
Linear (x1),1,0,-0.9994929723697049,4.04788755716144,0.00016750216970700904,0.0003385996710375245
Linear (x1),1,1,-0.8945478326054401,4.231213292132683,0.0360648641996348,0.07290383865098288
Linear (x1),1,2,-0.7036912170791924,4.687653965624873,0.033061507821179746,0.06683266068635034
Linear (x1),1,3,-0.5210777672435234,5.020264696294708,0.039412977328236884,0.079671930108688
Linear (x1),1,4,-0.3304073908389119,5.415283174311092,0.041754224194993673,0.08440467727422107
Linear (x1),1,5,-0.12150705355467499,5.822154768761955,0.054370670090383044,0.10990837335955489
Linear (x1),1,6,0.09772097970761599,6.259321981910638,0.053537969875029935,0.10822509952803006
Linear (x1),1,7,0.3148886049944181,6.67667625720372,0.06122796279665899,0.12377014636592505
Linear (x1),1,8,0.5259641706000611,7.170804392618818,0.05776889880920155,0.11677777169818469
Linear (x1),1,9,0.7127586538576316,7.480856090286148,0.05377814579497781,0.10871060659714885
Linear (x1),1,10,0.8990449975921113,7.817015026405317,0.0626506740932009,0.12664610658681705
Linear (x1),1,11,0.9986239621635682,7.973834073430556,0.0008954842259272959,0.0018101894730596258
