Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Log (x0),0,0,-0.925334127386606,12.455132703577126,0.07592723420566481,0.15014281436548987
Log (x0),0,1,-0.7642728016259301,10.058569820440773,0.07095029373365051,0.14030113032134772
Log (x0),0,2,-0.5865822119683008,8.235588353691234,0.06138600199498263,0.1213881579988413
Log (x0),0,3,-0.42177362273016517,6.999188601332752,0.042008927415779405,0.08307083297142048
Log (x0),0,4,-0.25714601993926656,6.132657285421762,0.04562066376314287,0.0902128850376187
Log (x0),0,5,-0.07900159516338266,5.526848812135131,0.03927127621673634,0.07765724639638472
Log (x0),0,6,0.0850842547223867,5.088057790551521,0.03200981601975129,0.0632980236249463
Log (x0),0,7,0.24114737212205134,4.685814316878443,0.03022600173495404,0.05977060820112937
Log (x0),0,8,0.41121121292467977,4.307466081114683,0.032022772844769516,0.06332364518477039
Log (x0),0,9,0.5771792270455202,3.962405239711164,0.024234591756505865,0.04792285468300407
Log (x0),0,10,0.7461580054115587,3.7755680836617977,0.028996592540347563,0.05733950481094088
Log (x0),0,11,0.9201125341163582,3.533362700421181,0.023045914231642838,0.045572296404106254
Linear (x1),1,0,-0.9087896951650921,4.225213179903162,0.031464411195920604,0.06365449463758102
Linear (x1),1,1,-0.7238466368882467,4.571072598884816,0.03498135032268513,0.07076948501166933
Linear (x1),1,2,-0.5486912502663717,4.997775870861621,0.033223776395251016,0.06721380175281616
Linear (x1),1,3,-0.38019312298613395,5.3019153679575854,0.03769257559738401,0.07625446528461875
Linear (x1),1,4,-0.1988848860602313,5.678321530369753,0.04368666464245056,0.08838088667545796
Linear (x1),1,5,-0.020099523890276846,6.024432649736829,0.04158821645330658,0.0841355932176727
Linear (x1),1,6,0.14589871582141567,6.354599110340825,0.042255473177489636,0.08548549578876886
Linear (x1),1,7,0.3034757629462938,6.651793791654638,0.041345649850473225,0.08364486563268252
Linear (x1),1,8,0.46681629619139664,7.051924200994138,0.05021073149975944,0.10157948671274802
Linear (x1),1,9,0.6344863572202872,7.323977195759952,0.04811264576957656,0.09733492653237426
Linear (x1),1,10,0.7821931007511442,7.583848889090818,0.04163723105304076,0.0842347528541431
Linear (x1),1,11,0.924719444870338,7.8261093165939855,0.048101187584734806,0.09731174589946733
