Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Log (x0),0,0,-0.9166666666666667,12.28237961186096,0.0836588349513976,0.16555892100312256
Log (x0),0,1,-0.75,9.885343024507165,0.06733192643928487,0.1332483424712502
Log (x0),0,2,-0.5833333333333334,8.202414028346539,0.055869010980397614,0.1105634949470655
Log (x0),0,3,-0.4166666666666667,6.973010022193193,0.04749518521620706,0.09399188527794979
Log (x0),0,4,-0.25000000000000006,6.096391007304192,0.04152427991939999,0.08217560025646332
Log (x0),0,5,-0.08333333333333337,5.544046871364117,0.03776210448066337,0.07473034110811944
Log (x0),0,6,0.08333333333333326,5.090818740427494,0.03467503677883608,0.06862110473069392
Log (x0),0,7,0.2499999999999999,4.67030331492424,0.03181078476184744,0.06295281549753465
Log (x0),0,8,0.41666666666666663,4.29186038672924,0.029233100675466063,0.05785163764493664
Log (x0),0,9,0.5833333333333333,3.953021951019764,0.026925174226031533,0.053284303986215094
Log (x0),0,10,0.7499999999999999,3.7666643038392067,0.025655838466994006,0.050772317550125935
Log (x0),0,11,0.9166666666666666,3.43110878020525,0.02337027287988139,0.046249235526522985
Linear (x1),1,0,-0.9166666666666667,4.200664261588827,0.028611937527735186,0.05783829704292256
Linear (x1),1,1,-0.75,4.518005880527198,0.03077344294939932,0.06220772475179096
Linear (x1),1,2,-0.5833333333333334,4.928890848532319,0.03357209913888529,0.06786513637767592
Linear (x1),1,3,-0.4166666666666667,5.2295858040452,0.03562021932804449,0.07200535875043088
Linear (x1),1,4,-0.25000000000000006,5.576870171353221,0.03798567345696309,0.07678706353421844
Linear (x1),1,5,-0.08333333333333337,5.898514064028859,0.04017648290764084,0.0812157285852976
Linear (x1),1,6,0.08333333333333326,6.226927507668734,0.04241340172512761,0.08573760253742992
Linear (x1),1,7,0.2499999999999999,6.544787902384996,0.04457844067844861,0.0901141731898121
Linear (x1),1,8,0.41666666666666663,6.951799150556326,0.04735071184333312,0.09571824816595412
Linear (x1),1,9,0.5833333333333333,7.219065446406603,0.04917113977661545,0.0993981964899134
Linear (x1),1,10,0.7499999999999999,7.519801147282124,0.0512195374942078,0.10353897987926988
Linear (x1),1,11,0.9166666666666666,7.8128185123205185,0.053215363397192274,0.10757349069528425
