Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Log (x0),0,0,-0.9999089996805719,13.505575770977885,0.00010044015773135385,0.0001989869826488115
Log (x0),0,1,-0.9120444220278432,12.305287964409217,0.08826874377809094,0.17487359023850288
Log (x0),0,2,-0.7344502139795759,9.681953815743327,0.07107068027892566,0.1408016528740191
Log (x0),0,3,-0.5455163606819038,7.811596151441336,0.0632736292354205,0.12535452798144706
Log (x0),0,4,-0.3423285443646462,6.524485070258379,0.055493527419790606,0.10994098204563199
Log (x0),0,5,-0.13771342716335203,5.737657193094492,0.04714407342699243,0.09339946424718533
Log (x0),0,6,0.06643684541109479,5.142576992511749,0.04354444805249245,0.08626806772097047
Log (x0),0,7,0.26722637771917157,4.625762812793255,0.03673758904879929,0.07278266143473584
Log (x0),0,8,0.4682858282185345,4.2028725147247314,0.03568027001516784,0.07068795420854634
Log (x0),0,9,0.6858833811452858,3.7976540625095367,0.03529356616366061,0.06992183601112263
Log (x0),0,10,0.8994172298750156,3.4411903470754623,0.028071140829152772,0.05561313063688351
Log (x0),0,11,0.9996165964884925,2.5314977392554283,7.93204182472729e-05,0.00015714561830620707
Linear (x1),1,0,-0.9994929723697049,4.025002272101119,0.00016678197871864133,0.0003367682594869837
Linear (x1),1,1,-0.8945478326054401,4.226804594509304,0.036076346460996805,0.07284581043863918
Linear (x1),1,2,-0.7036912170791924,4.687254840973765,0.03310371029434963,0.06684342627446846
Linear (x1),1,3,-0.5210777672435234,5.022878758609295,0.03948719805427257,0.07973304467857864
Linear (x1),1,4,-0.3304073908389119,5.412244354374707,0.041787620182593035,0.08437808584065017
Linear (x1),1,5,-0.12150705355467499,5.820870865136385,0.054432702822856574,0.1099111950203571
Linear (x1),1,6,0.09772097970761599,6.256054621189833,0.05358289001915034,0.10819524236772249
Linear (x1),1,7,0.3148886049944181,6.676674820482731,0.06131132637510463,0.12380059781527568
Linear (x1),1,8,0.5259641706000611,7.17107905074954,0.05784978091694102,0.1168110018886833
Linear (x1),1,9,0.7127586538576316,7.479707710444927,0.05384311114877549,0.10872068413054889
Linear (x1),1,10,0.8990449975921113,7.813260890543461,0.0627058591587107,0.12661645587104814
Linear (x1),1,11,0.9986239621635682,7.960852235555649,0.0008952437630589659,0.0018076874145410765
