Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Log (x0),0,0,-0.925334127386606,12.43329606950283,0.07586610393344352,0.1501427325784656
Log (x0),0,1,-0.7642728016259301,10.059837950393558,0.07102663388431203,0.14056518450712022
Log (x0),0,2,-0.5865822119683008,8.233642438426614,0.06142978658348822,0.12157255402819063
Log (x0),0,3,-0.42177362273016517,6.998272147029638,0.04204332057662962,0.08320578902516843
Log (x0),0,4,-0.25714601993926656,6.13208394497633,0.045659723893567365,0.09036282817650282
Log (x0),0,5,-0.07900159516338266,5.528074689209461,0.039317293787115376,0.07781084859671518
Log (x0),0,6,0.0850842547223867,5.085836164653301,0.03202622816577531,0.06338147290665372
Log (x0),0,7,0.24114737212205134,4.6850647777318954,0.03024987003598498,0.05986597323266662
Log (x0),0,8,0.41121121292467977,4.3031759560108185,0.03202126304106428,0.06337164668185692
Log (x0),0,9,0.5771792270455202,3.9648963138461113,0.024272859309062766,0.04803717648862681
Log (x0),0,10,0.7461580054115587,3.778771497309208,0.029048758480263972,0.05748891468138352
Log (x0),0,11,0.9201125341163582,3.4205615520477295,0.02233137250995572,0.044194879096649486
Linear (x1),1,0,-0.9087896951650921,4.217540845274925,0.03143710644696866,0.06354694811022907
Linear (x1),1,1,-0.7238466368882467,4.571594763547182,0.03501857444107292,0.07078652536469786
Linear (x1),1,2,-0.5486912502663717,4.998481017537415,0.03326002348354492,0.06723179151424831
Linear (x1),1,3,-0.38019312298613395,5.301192868500948,0.03772323366445627,0.07625372189610023
Linear (x1),1,4,-0.1988848860602313,5.678378511220217,0.04372859583170765,0.08839295737787767
Linear (x1),1,5,-0.020099523890276846,6.025331094861031,0.04163392388067858,0.08415878875283135
Linear (x1),1,6,0.14589871582141567,6.352714262902737,0.04228306089216873,0.08547095391838752
Linear (x1),1,7,0.3034757629462938,6.652146112173796,0.04138711080871588,0.08365988095724915
Linear (x1),1,8,0.46681629619139664,7.051834836602211,0.05025778337185988,0.1015910531541515
Linear (x1),1,9,0.6344863572202872,7.320730946958065,0.04813699632917115,0.0973040954984929
Linear (x1),1,10,0.7821931007511442,7.581571117043495,0.04166425952661663,0.08422010920932971
Linear (x1),1,11,0.924719444870338,7.830862887203693,0.04817611712237562,0.09738317424640468
