Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Log (x0),0,0,-0.9999089996805719,12.632078141905367,9.486959428718878e-05,0.00018873417138779892
Log (x0),0,1,-0.9120444220278432,11.712172999978065,0.08484194197694984,0.16878509640800354
Log (x0),0,2,-0.7344502139795759,9.684613905847073,0.07179062508844822,0.14282072397678747
Log (x0),0,3,-0.5455163606819038,8.023879490792751,0.06563346271569115,0.1305716261783439
Log (x0),0,4,-0.3423285443646462,6.742344703525305,0.057911524718169106,0.11520955384715559
Log (x0),0,5,-0.13771342716335203,5.878717638552189,0.04877901946700148,0.09704129009284751
Log (x0),0,6,0.06643684541109479,5.174777470529079,0.044248812871364424,0.0880288684158365
Log (x0),0,7,0.26722637771917157,4.53912653028965,0.03640470682318612,0.07242375419136389
Log (x0),0,8,0.4682858282185345,3.9996812120079994,0.034289823603369365,0.06821639212690973
Log (x0),0,9,0.6858833811452858,3.4773023799061775,0.03263477005248198,0.06492381811648891
Log (x0),0,10,0.8994172298750156,3.148801624774933,0.02593908339114311,0.05160337668954819
Log (x0),0,11,0.9996165964884925,2.9669376090168953,9.388016038859858e-05,0.00018676578532694866
Linear (x1),1,0,-0.9994929723697049,3.816559910774231,0.00015970298508994268,0.0003211159256254979
Linear (x1),1,1,-0.8945478326054401,4.141234967391938,0.035694245647642925,0.07177067306657739
Linear (x1),1,2,-0.7036912170791924,4.651254857890308,0.03317311089053757,0.06670140951650312
Linear (x1),1,3,-0.5210777672435234,5.019915988668799,0.039852725623277345,0.08013215826874119
Linear (x1),1,4,-0.3304073908389119,5.432273610495031,0.042355502279043104,0.0851645090541538
Linear (x1),1,5,-0.12150705355467499,5.829089786857367,0.055046617450177755,0.1106826244049942
Linear (x1),1,6,0.09772097970761599,6.292550824582577,0.05442648550720575,0.10943572070582264
Linear (x1),1,7,0.3148886049944181,6.6893757320940495,0.0620331784918782,0.12473055227923634
Linear (x1),1,8,0.5259641706000611,7.113628089427948,0.057951718891835716,0.11652393249293372
Linear (x1),1,9,0.7127586538576316,7.400522008538246,0.053797962922747175,0.10817194588426073
Linear (x1),1,10,0.8990449975921113,7.644831202924252,0.06195860840188966,0.12458061367002898
Linear (x1),1,11,0.9986239621635682,7.816054858267307,0.0008876204461943062,0.0017847447311224482
