Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Log (x0),0,0,-0.925334127386606,11.765722592826933,0.07247218096445712,0.14417641349588853
Log (x0),0,1,-0.7642728016259301,10.008687968365848,0.07133433520702998,0.14191277911599018
Log (x0),0,2,-0.5865822119683008,8.422962855547667,0.06343706905852103,0.1262019298692576
Log (x0),0,3,-0.42177362273016517,7.229286711663008,0.0438422517435035,0.08721993090096525
Log (x0),0,4,-0.25714601993926656,6.324786227196455,0.04754033755939637,0.09457691592114753
Log (x0),0,5,-0.07900159516338266,5.639111623167992,0.04048662985453581,0.08054424482996192
Log (x0),0,6,0.0850842547223867,5.10921236127615,0.03247794950701416,0.06461174778110168
Log (x0),0,7,0.24114737212205134,4.612188786268234,0.030061192799673824,0.059803843427742295
Log (x0),0,8,0.41121121292467977,4.137936048209667,0.031083101615251952,0.061836832444895566
Log (x0),0,9,0.5771792270455202,3.703869879245758,0.02288948626886378,0.04553642505427927
Log (x0),0,10,0.7461580054115587,3.424379974603653,0.02657358289144949,0.05286557992374874
Log (x0),0,11,0.9201125341163582,3.10530886054039,0.020465107444854157,0.040713357235021654
Linear (x1),1,0,-0.9087896951650921,4.106501000933349,0.030899142107380283,0.06212921234724983
Linear (x1),1,1,-0.7238466368882467,4.518945934250951,0.03494291257829318,0.07026006185102546
Linear (x1),1,2,-0.5486912502663717,4.998181248083711,0.03357281254166813,0.06750518808085301
Linear (x1),1,3,-0.38019312298613395,5.320197669789195,0.038216798071622246,0.07684289597336956
Linear (x1),1,4,-0.1988848860602313,5.721877096220851,0.04448063093607842,0.08943764701179814
Linear (x1),1,5,-0.020099523890276846,6.075116107240319,0.0423752457795717,0.08520432813819385
Linear (x1),1,6,0.14589871582141567,6.416556425392628,0.04311221484366849,0.08668615916500697
Linear (x1),1,7,0.3034757629462938,6.660935468971729,0.04183403704099666,0.0841161143448703
Linear (x1),1,8,0.46681629619139664,7.023592479526997,0.050530282183941524,0.1016017409435684
Linear (x1),1,9,0.6344863572202872,7.266143802553415,0.04823027637971616,0.0969770963979681
Linear (x1),1,10,0.7821931007511442,7.4560754001140594,0.04136242247762043,0.08316783425177805
Linear (x1),1,11,0.924719444870338,7.693655788898468,0.04778000014489163,0.09607172149431822
