Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Log (x0),0,0,-0.9230769230769231,3.712280953791944,0.1298123667605031,0.2380081850551848
Log (x0),0,1,-0.7692307692307692,2.345595876402924,0.08202163466871185,0.15038490468921387
Log (x0),0,2,-0.6153846153846154,1.726045695445567,0.060356982580668427,0.1106632306145053
Log (x0),0,3,-0.4615384615384615,1.3595183182253145,0.04754012229672903,0.0871637926918123
Log (x0),0,4,-0.30769230769230765,1.1241066621914308,0.03930816339783351,0.07207067293851674
Log (x0),0,5,-0.1538461538461538,0.9604482807180166,0.03358529864063985,0.061577923378770064
Log (x0),0,6,1.1102230246251565e-16,0.8345417137250185,0.029182552820618907,0.05350558352369456
Log (x0),0,7,0.15384615384615397,0.7390932949574278,0.025844878410196812,0.04738602921192925
Log (x0),0,8,0.3076923076923077,0.6635682470675519,0.02320389155108782,0.042543836555117016
Log (x0),0,9,0.46153846153846156,0.6015412830981262,0.021034910513266628,0.03856705642920375
Log (x0),0,10,0.6153846153846155,0.5501750774990991,0.019238718683145244,0.03527377730513638
Log (x0),0,11,0.7692307692307694,0.5088707184873476,0.017794373099505028,0.032625600713541605
Log (x0),0,12,0.9230769230769231,0.47149660600404036,0.016487461780717146,0.030229406893374517
Linear (x1),1,0,-0.9230769230769231,1.0000000000009892,0.03496835729203994,0.07692307692310105
Linear (x1),1,1,-0.7692307692307692,1.0000000000009566,0.034968357292038794,0.07692307692309854
Linear (x1),1,2,-0.6153846153846154,1.0000000000008376,0.03496835729203463,0.07692307692308938
Linear (x1),1,3,-0.4615384615384615,1.0000000000010976,0.03496835729204373,0.07692307692310939
Linear (x1),1,4,-0.30769230769230765,1.0000000000013036,0.03496835729205093,0.07692307692312524
Linear (x1),1,5,-0.1538461538461538,0.9999999999998399,0.03496835729199975,0.07692307692301265
Linear (x1),1,6,1.1102230246251565e-16,0.9999999999998075,0.03496835729199864,0.0769230769230102
Linear (x1),1,7,0.15384615384615397,0.9999999999998291,0.03496835729199935,0.07692307692301176
Linear (x1),1,8,0.3076923076923077,1.0000000000009024,0.03496835729203688,0.07692307692309432
Linear (x1),1,9,0.46153846153846156,1.0000000000010976,0.034968357292043756,0.07692307692310944
Linear (x1),1,10,0.6153846153846155,1.000000000000599,0.034968357292026325,0.0769230769230711
Linear (x1),1,11,0.7692307692307694,1.000000000000805,0.03496835729203347,0.07692307692308682
Linear (x1),1,12,0.9230769230769231,1.000000000000718,0.03496835729203043,0.07692307692308013
