Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Log (x0),0,0,-0.9987242096753783,4.968732537236065,0.0028814200262160562,0.005282549450709198
Log (x0),0,1,-0.9005056386867888,3.4607626730576158,0.1524996816153184,0.2795798953366207
Log (x0),0,2,-0.7029662025634063,2.0502309780567884,0.09374928832103811,0.17187194057751862
Log (x0),0,3,-0.5070572700969922,1.4529272448271513,0.06294690174220023,0.11540147503548047
Log (x0),0,4,-0.3176365098457263,1.1382391676306725,0.04869046769783165,0.08926494612093333
Log (x0),0,5,-0.11696795146162593,0.9298091754317284,0.045037055825827774,0.08256709273542298
Log (x0),0,6,0.09425208022278224,0.7746391929686068,0.036852050943063715,0.0675614036466725
Log (x0),0,7,0.30587086138959374,0.6649177521467209,0.032327059023947786,0.059265669821229494
Log (x0),0,8,0.5044172533216229,0.5866051651537418,0.024421034254312867,0.04477143905162746
Log (x0),0,9,0.701834301082013,0.5259877070784569,0.025302527453472053,0.04638749341810499
Log (x0),0,10,0.9028565229005902,0.47495122998952866,0.02055107276387403,0.037676582085414884
Log (x0),0,11,0.9990246321342846,0.4546134732663631,0.00020155445056385947,0.0003695127202653358
Linear (x1),1,0,-0.9996564087712463,0.9998911991715431,0.00015616239492721547,0.00034356147783176324
Linear (x1),1,1,-0.8868822292351299,1.000025076791644,0.051106603621840885,0.11243590542694605
Linear (x1),1,2,-0.6773138493722648,1.0003306670114398,0.04416858181763624,0.09717207045955513
Linear (x1),1,3,-0.489777961465211,1.0001444024965167,0.04109638677252919,0.09041315855649201
Linear (x1),1,4,-0.2916226681625822,1.000025076791644,0.04898226038739613,0.1077622930544673
Linear (x1),1,5,-0.08354522938351425,1.000025076791644,0.045601707787333315,0.10032498621944526
Linear (x1),1,6,0.12069989537945082,0.9995012078434229,0.04721549135779277,0.10387535357021549
Linear (x1),1,7,0.3185116501812724,0.9998329915106297,0.04266914876115285,0.09387327732158275
Linear (x1),1,8,0.5100391114451902,1.0001531336456537,0.044389324761483516,0.09765771088562858
Linear (x1),1,9,0.6956922021032392,0.9997165761888027,0.03999474232340562,0.0879895110761722
Linear (x1),1,10,0.8916314170373253,1.0000192560255527,0.049059030587224176,0.10793118956325007
Linear (x1),1,11,0.9997790653552168,1.0001938790082932,0.00010044530961141367,0.00022098238841335903
