Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Quadratic (x0),0,0,-0.9980238808848263,4790.6746749989,0.005257317126850972,0.007601299507887529
Quadratic (x0),0,1,-0.8838167183131789,3046.2668577151335,0.18986080688337137,0.27451051993017994
Quadratic (x0),0,2,-0.6849146478635159,1353.4284689626484,0.06514238067788237,0.094186204530143
Quadratic (x0),0,3,-0.4937890596936991,770.9254613388183,0.044719215292712,0.06465734156714567
Quadratic (x0),0,4,-0.29626128610239827,470.6152366047095,0.02432456393944427,0.035169705658069525
Quadratic (x0),0,5,-0.11699172226946233,235.9934901456319,0.011296483757270864,0.01633303724183663
Quadratic (x0),0,6,0.07090568501695847,149.0662529327846,0.008418974082301262,0.012172585751365214
Quadratic (x0),0,7,0.2883733304038435,505.86359933381596,0.032521535676914605,0.04702130900076579
Quadratic (x0),0,8,0.4978830064750037,797.7604494934872,0.041530401175210147,0.06004679010196701
Quadratic (x0),0,9,0.6873455743308149,1436.9496293509264,0.07638292007615836,0.11043835454029163
Quadratic (x0),0,10,0.8904399674025045,3174.054713638033,0.18926556461592733,0.2736498880441011
Quadratic (x0),0,11,0.9989074395854081,4802.465501732487,0.0029138291989079697,0.00421296412624707
Parabolic (x1),1,0,-0.9997357241493376,889.8642502893613,0.00013059772601303277,0.00042351531244663135
Parabolic (x1),1,1,-0.8836694696915717,827.9975723087921,0.05324752415741143,0.1726763743825463
Parabolic (x1),1,2,-0.6694105893971789,679.8505821306416,0.03717183619412548,0.12054453244001372
Parabolic (x1),1,3,-0.47444228310450165,545.6539888670125,0.02924491386650237,0.0948383192553488
Parabolic (x1),1,4,-0.28935497730932896,426.24719478720056,0.020966767986684547,0.06799312335645565
Parabolic (x1),1,5,-0.11545472113743066,396.4569210653021,0.018785527459725844,0.060919579340811894
Parabolic (x1),1,6,0.08189992701769327,396.06550460569315,0.02464091709515283,0.07990802000245982
Parabolic (x1),1,7,0.29599009869086357,436.0414355795638,0.024713666611876142,0.08014393938058391
Parabolic (x1),1,8,0.4995514770829751,513.4932776833693,0.028944203190688588,0.0938631447273436
Parabolic (x1),1,9,0.6966630658772233,567.2073029806804,0.030116181919178583,0.09766375406818091
Parabolic (x1),1,10,0.8941948325297586,699.7044482177414,0.03960368292923289,0.12843076722589777
Parabolic (x1),1,11,0.9980582551399986,742.0713928435753,0.0008001883604567901,0.002594930507910957
