Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Quadratic (x0),0,0,-0.925334127386606,3404.950667754747,0.1409065480949745,0.19902727239988152
Quadratic (x0),0,1,-0.7642728016259301,1812.4146852642298,0.08678539929431477,0.12258238910259779
Quadratic (x0),0,2,-0.5865822119683008,917.0119432383217,0.04640030561135172,0.06553936910102774
Quadratic (x0),0,3,-0.42177362273016517,627.3785973462509,0.02556199387483838,0.03610573097413783
Quadratic (x0),0,4,-0.25714601993926656,646.3570716732647,0.03264048022316826,0.04610393084259476
Quadratic (x0),0,5,-0.07900159516338266,240.66383627996402,0.01160858795632218,0.016396864649637393
Quadratic (x0),0,6,0.0850842547223867,341.466931058676,0.01458313595212693,0.020598345576049133
Quadratic (x0),0,7,0.24114737212205134,611.6600823588669,0.026784090113272194,0.03783191392471081
Quadratic (x0),0,8,0.41121121292467977,886.5715248248307,0.044742678294250715,0.06319800847557422
Quadratic (x0),0,9,0.5771792270455202,942.1442693565041,0.03911698382198275,0.05525184386287005
Quadratic (x0),0,10,0.7461580054115587,1732.6823526673252,0.09033472826494411,0.12759573499336574
Quadratic (x0),0,11,0.9201125341163582,3354.1478667757474,0.14851114833874762,0.20976859609755305
Parabolic (x1),1,0,-0.9087896951650921,606.4700894057751,0.030658542203528216,0.10498640723253515
Parabolic (x1),1,1,-0.7238466368882467,783.7005583496648,0.04071362176436015,0.13941879056378034
Parabolic (x1),1,2,-0.5486912502663717,532.6985978172161,0.024039470829480762,0.08232021135917132
Parabolic (x1),1,3,-0.38019312298613395,481.7240791453514,0.023248370028528552,0.07961118395991047
Parabolic (x1),1,4,-0.1988848860602313,408.8339046575129,0.021352412147375783,0.07311870937044572
Parabolic (x1),1,5,-0.020099523890276846,390.3688950231299,0.01829365473280162,0.06264437078577996
Parabolic (x1),1,6,0.14589871582141567,415.98533280193806,0.01877776762915269,0.06430215586066805
Parabolic (x1),1,7,0.3034757629462938,427.6916501112282,0.018046498388606547,0.06179801428162816
Parabolic (x1),1,8,0.46681629619139664,484.1036308789626,0.023399058516773017,0.08012719815546696
Parabolic (x1),1,9,0.6344863572202872,507.541751358076,0.02263367946096155,0.07750625170904954
Parabolic (x1),1,10,0.7821931007511442,635.0879244564567,0.023669939905335006,0.08105479815622664
Parabolic (x1),1,11,0.924719444870338,651.6923691378906,0.02719090455280201,0.0931119085653377
