Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Quadratic (x0),0,0,-0.9567521904530555,3748.702306620544,0.09069764730291031,0.1274415387887215
Quadratic (x0),0,1,-0.6682402643450025,1450.6170087770442,0.1990387937192468,0.27967440065468807
Quadratic (x0),0,2,-0.21525245722703681,508.51468986365944,0.059093605090362704,0.083033906493043
Quadratic (x0),0,3,0.0500332198696724,327.57264270912856,0.010548588488113108,0.014822086227709579
Quadratic (x0),0,4,0.39290244404183433,751.0503375669941,0.11987615011778316,0.16844098484777176
Quadratic (x0),0,5,0.7207554978122958,1620.3541192226112,0.03856716792644599,0.05419169486121375
Quadratic (x0),0,6,0.8816506569752236,2927.9790263899486,0.19385846305753376,0.2723953881268524
Parabolic (x1),1,0,-0.9668699664079077,505.5151879787445,0.009369297666516414,0.032496223554642066
Parabolic (x1),1,1,-0.8360754976789115,805.9990344918333,0.044037424993865974,0.15273823698500633
Parabolic (x1),1,2,0.13079446872899608,483.09591111319605,0.2349128616372218,0.8147655394603517
