Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol]
361.852,0.198524,3.34085,4.38027,1.21763,13.9873,1.0,-3314.8193359375
955.021,0.325109,3.69596,4.96763,1.03944,88.4628,1.0,-2744.14208984375
3254.9,0.645102,8.30154,9.96929,0.639911,1104.85,1.0,-1877.153564453125
1923.44,0.58603,5.40264,7.32565,0.994311,258.612,1.0,-2436.180908203125
2332.16,0.681904,7.16148,8.13779,0.783917,291.611,1.0,-2469.358154296875
2149.05,0.589953,4.77059,5.91231,0.954609,344.474,1.0,-2434.054443359375
1611.11,0.520447,4.00055,6.02697,1.09325,325.384,1.0,-3011.221435546875
4672.62,0.818789,10.47578,14.5492,0.421448,3051.49,1.0,-1710.6221923828125
1293.96,0.481308,3.7662,5.77442,1.22248,117.266,1.0,-3188.548583984375
156.467,0.1268,3.80446,4.05646,1.70187,5.32432,1.0,-3311.1259765625
2600.61,0.697995,4.86843,10.27299,0.822247,1014.42,1.0,-2472.1171875
2412.99,0.652106,7.66575,9.52473,0.883366,722.543,1.0,-1802.3314208984375
825.246,0.465636,4.02707,5.18692,1.39716,38.8761,1.0,-3513.182373046875
1202.72,0.51161,6.81647,7.68128,1.16031,152.02,1.0,-2516.789794921875
1871.33,0.589845,5.08548,9.35332,0.966721,908.675,1.0,-2858.277099609375
354.922,0.252588,3.55812,5.42182,1.4874,40.0899,1.0,-3531.277099609375
1572.8,0.532163,5.10903,6.67722,1.06722,99.7195,1.0,-2345.7490234375
3544.57,0.736308,6.61396,11.28335,0.631896,1105.93,1.0,-2136.291015625
558.885,0.293386,8.51354,9.20336,1.41766,134.652,1.0,-2139.13916015625
1324.09,0.658104,7.04166,7.16356,1.20858,206.427,1.0,-2877.161376953125
3445.41,0.893987,32.8289,33.35607,0.277868,5755.66,1.0,-1723.2735595703125
4103.84,0.840916,12.26313,14.15358,0.431496,2427.35,1.0,-1843.417724609375
4376.85,0.791352,9.70522,12.60417,0.476007,1426.1,1.0,-1497.828125
3813.98,0.746846,7.23129,12.3655,0.623353,1645.61,1.0,-1407.2366943359375
1328.19,0.51935,8.83402,9.5831,1.04684,252.26,1.0,-2309.04150390625
1107.6,0.439984,5.31433,6.17989,1.18099,102.399,1.0,-2692.210205078125
1806.18,0.610497,7.4054,7.89653,0.979921,140.19,1.0,-2179.8525390625
1678.22,0.584262,19.01787,19.24015,0.637238,1046.74,1.0,-1406.2078857421875
4892.13,0.79176,8.59277,13.05853,0.444467,1192.24,1.0,-1338.9339599609375
4950.57,0.865841,14.20373,17.02439,0.330315,6130.83,1.0,-1606.356689453125
621.192,0.350984,8.26076,8.58276,1.49873,112.591,1.0,-2044.314208984375
238.068,0.116917,4.6332,5.05891,1.66327,23.3504,1.0,-2477.407470703125
2025.26,0.549177,4.7168,6.52933,0.959943,179.801,1.0,-2483.7763671875
1285.71,0.528525,5.65601,6.128,1.14779,135.761,1.0,-2788.02490234375
134.089,0.133557,3.69808,4.19634,2.03437,5.72751,1.0,-3318.994873046875
1760.43,0.646083,12.58356,13.80131,0.888268,1401.63,1.0,-1541.7899169921875
1986.61,0.592604,6.51897,7.30945,0.92952,260.999,1.0,-2088.5
1290.5,0.447834,4.50627,5.40568,1.12063,53.1511,1.0,-2595.88427734375
3998.93,0.839886,9.27347,11.7187,0.527815,2463.97,1.0,-1381.960693359375
3394.47,0.683023,6.19962,13.05206,0.652878,2128.06,1.0,-1697.890380859375
479.876,0.206532,3.57909,4.8199,1.34692,23.3847,1.0,-2998.53857421875
4195.07,0.841225,11.10622,13.94462,0.435915,2260.92,1.0,-1657.39990234375
3384.32,0.764416,7.80195,13.22033,0.592616,1990.29,1.0,-1925.1842041015625
3366.25,0.77621,7.48366,15.22863,0.625384,4112.82,1.0,-1659.4935302734375
2856.91,0.569431,5.63025,6.91667,0.801383,363.912,1.0,-2060.515869140625
1178.81,0.442726,4.15494,6.36601,1.27572,166.179,1.0,-2495.98779296875
255.471,0.193821,3.45625,4.38837,1.43752,5.23775,1.0,-3479.828125
1912.47,0.520035,4.83213,6.08102,0.862002,374.283,1.0,-3096.83349609375
1323.56,0.440974,5.02498,5.99218,1.06846,123.091,1.0,-2689.57470703125
2206.04,0.641181,9.90721,10.38818,0.759035,408.992,1.0,-2008.7340087890625
1573.4,0.509343,4.19007,4.70305,1.05024,45.6949,1.0,-3406.646484375
1993.28,0.704894,8.19329,9.08626,0.838364,285.037,1.0,-2461.140380859375
1263.05,0.388729,4.58384,5.18579,1.07364,70.4019,1.0,-2679.813232421875
1028.57,0.452038,10.04156,10.46848,1.06964,856.728,1.0,-2093.841796875
1056.46,0.434674,4.37242,5.87053,1.18413,33.583,1.0,-2919.82373046875
917.933,0.396626,9.99933,10.49844,1.17325,194.51,1.0,-1366.6063232421875
303.873,0.193572,4.16906,4.77624,1.66434,19.8794,1.0,-3291.297607421875
1453.98,0.507912,6.41234,8.04773,0.97344,223.399,1.0,-2491.9921875
2479.83,0.626904,7.37077,9.4629,0.797708,390.061,1.0,-1853.1783447265625
1797.95,0.543787,5.75538,7.20604,0.945119,159.448,1.0,-2394.212890625
2957.61,0.763081,7.20029,15.2358,0.70593,3943.18,1.0,-1710.49169921875
1904.26,0.548241,4.73536,6.65322,1.02552,445.775,1.0,-2366.71435546875
407.499,0.177117,4.3574,5.09729,1.38013,31.7995,1.0,-2868.496337890625
