Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol],CO2 Uptake [g/g]
3247.67,0.759906,8.63647,14.99836,0.596568,2133.2,1.0,-1820.2552490234375,0.3855745196342468
1216.27,0.455216,6.42473,8.69704,1.24311,279.924,1.0,-2222.8583984375,0.32529208064079285
1159.51,0.412831,8.60619,8.80218,1.08576,536.493,1.0,-1830.0582275390625,0.15892340242862701
460.682,0.267865,5.37127,5.95497,1.59015,48.7912,1.0,-2856.63720703125,1.4004907608032227
4487.68,0.782606,7.68602,9.42926,0.564412,1553.01,1.0,-1792.9342041015625,0.5358992218971252
3276.43,0.765398,5.14858,9.98441,0.745628,1478.44,1.0,-1809.0198974609375,0.5015122294425964
639.479,0.286471,4.54244,6.04581,1.37677,91.8256,1.0,-2663.322021484375,0.8947914242744446
1857.27,0.525051,4.55803,5.74176,1.09555,85.6296,1.0,-2424.622802734375,0.8442040681838989
200.021,0.17239,3.77791,4.10979,2.14595,14.3505,1.0,-3686.04833984375,0.9995880126953125
1221.66,0.549134,4.31069,5.52593,1.25252,150.082,1.0,-3259.258544921875,7.846843242645264
2081.71,0.518445,5.46555,6.11996,0.806879,296.984,1.0,-3424.55126953125,2.148311138153076
4954.62,0.820375,9.13864,10.25326,0.462919,2553.73,1.0,-1715.7615966796875,0.5147098898887634
1454.89,0.536841,5.67776,6.69227,1.33247,125.254,1.0,-2089.988037109375,0.3672088384628296
652.986,0.275323,3.66087,5.00042,1.29956,45.7894,1.0,-3202.427490234375,1.8453466892242432
5253.6,0.835703,10.18807,15.28634,0.379341,3118.63,1.0,-1309.3330078125,0.2592531442642212
1939.96,0.564731,7.46344,9.29123,0.798505,696.326,1.0,-2152.455322265625,0.6248120069503784
3438.09,0.784474,8.5345,16.23244,0.615628,4842.76,1.0,-1571.7388916015625,0.29514071345329285
2620.24,0.676122,8.9453,9.17433,0.773465,527.879,1.0,-2885.927978515625,1.6737823486328125
4727.15,0.787416,8.70608,13.69434,0.426753,2703.36,1.0,-1519.0582275390625,0.29189231991767883
1059.27,0.3293,7.2375,7.6109,1.06551,84.3891,1.0,-1916.8369140625,0.16061469912528992
2563.12,0.662775,5.30255,7.16967,0.7894,685.522,1.0,-4204.57763671875,16.196388244628906
842.275,0.339579,6.41644,7.32309,1.39079,121.873,1.0,-1940.075439453125,0.13056129217147827
662.048,0.249821,5.67629,7.40167,1.22102,270.296,1.0,-2208.569091796875,0.26415592432022095
