Dataset,Section_mode,N_sections,Feature_top,Feature_2nd,AGSM_transition_1,AGSM_transition_2,KAN_inflection_top_1,KAN_inflection_top_2,True_transition,Abs_diff_1,Rel_error_1,Abs_diff_true_AGSM,Abs_diff_true_KAN
exponential,equal,13,Exponent (x0),Linear (x1),0.3522506666822541,,-0.024371927456490163,,0.34657359027997264,0.3766225941387442,0.18843444612408952,0.0056770764022814335,0.3709455177364628
exponential,quantile,13,Exponent (x0),Linear (x1),0.3399275301279666,,-0.024371927456490163,,0.34657359027997264,0.36429945758445675,0.18226884839507163,0.006646060152006028,0.3709455177364628
exponential,kan,12,Exponent (x0),Linear (x1),0.3713151380443991,,-0.024371927456490163,,0.34657359027997264,0.3956870655008892,0.1979729155565712,0.02474154776442644,0.3709455177364628
logarithm,equal,13,Log (x0),Linear (x1),-0.19102652820146399,,,,,,,,
logarithm,quantile,13,Log (x0),Linear (x1),-0.2102418735080102,,,,,,,,
logarithm,kan,12,Log (x0),Linear (x1),-0.23588099136365465,,,,,,,,
log2,equal,13,Log (x0),Linear (x1),-0.14698282454914868,,-0.2382539506300942,,,0.09127112608094551,0.04565722155624028,,
log2,quantile,13,Log (x0),Linear (x1),-0.1964231512802121,,-0.2382539506300942,,,0.0418307993498821,0.020925326067505596,,
log2,kan,12,Log (x0),Linear (x1),-0.9998112328910326,-0.20192129767210187,-0.2382539506300942,,,0.7615572822609384,0.38095935765182665,,
rosenbrock,equal,13,Quadratic (x0),Parabolic (x1),-0.25156791827897546,0.24370084485664134,-0.5982436208703266,-0.3893344985170716,,0.13776658023809613,0.06896451308786027,,
rosenbrock,quantile,13,Quadratic (x0),Parabolic (x1),-0.24119331880769318,0.24801030008814123,-0.5982436208703266,-0.3893344985170716,,0.1481411797093784,0.07415792937054669,,
rosenbrock,kan,12,Quadratic (x0),Parabolic (x1),-0.24448859058937708,0.21672451337874005,-0.5982436208703266,-0.3893344985170716,,0.1448459079276945,0.07250835068808802,,
