func,test_R2,architecture,n_layers,grid,k,steps,lr,lamb,lamb_coef,lamb_entropy,num_params
conditional,0.9962,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_0,0.9795,2 → 1,1,5,3,50,0.1,0.01,0.1,2.0,18
convex_seed_1,0.9274,2 → 1,1,5,3,50,0.1,0.01,0.1,2.0,18
convex_seed_10,0.9023,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_11,0.9496,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_12,0.9747,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_13,0.9385,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_14,0.9808,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_15,0.9609,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_16,0.9563,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_17,0.9762,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_18,0.98,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_19,0.5189,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_2,0.9555,2 → 1,1,10,3,20,0.5,0.01,0.1,0.1,28
convex_seed_20,0.8688,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_21,0.9772,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_22,0.9694,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_23,0.9731,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_24,0.9854,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_25,0.9864,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_26,0.9887,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_27,0.9776,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_28,0.9836,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_29,0.9424,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_3,0.9102,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_4,0.9774,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_5,0.9762,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_6,0.9796,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_7,0.9791,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_8,0.9838,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convex_seed_9,0.984,2 → 1,1,3,3,50,0.5,0.001,0.1,2.0,14
convolution,0.5216,2 → 1,1,10,3,20,0.5,0.01,0.1,0.1,28
exponential,0.9995,2 → 1,1,10,3,20,0.1,0.01,1.0,0.1,28
log2,0.9999,2 → 2 → 1,2,10,3,50,1.0,0.0,0.01,5.0,84
log_sum_10d,0.6483,10 → 1,1,3,3,20,0.1,0.1,0.1,10.0,70
log_sum_2d,0.9999,2 → 1,1,10,3,20,0.5,0.01,0.1,0.1,28
log_sum_30d,-3.3107,30 → 1,1,3,3,20,0.1,0.1,0.1,10.0,210
log_sum_5d,0.9676,5 → 1,1,3,3,20,0.1,0.1,0.1,10.0,35
logarithm,1.0,2 → 1,1,10,3,50,1.0,0.0,0.01,4.0,28
mult_periodic,0.0084,2 → 1,1,5,3,20,0.5,0.1,1.0,10.0,18
multiplication,0.966,2 → 2 → 1,2,5,3,20,0.1,0.001,0.0,0.001,54
original,0.9532,2 → 1,1,10,3,20,0.5,0.01,0.1,0.1,28
rosenbrock,0.9106,2 → 2 → 1,2,10,3,50,1.0,0.0,0.0,1.0,84
