Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
T_E110,3,0,208.73057142857144,0.0020461792561924075,0.009326430869317155,0.14374264407108445
T_E110,3,1,215.0797142857143,0.0021346646727483107,0.009729745054989733,0.14995868193726095
T_E110,3,2,221.42885714285714,0.0021702982054931717,0.009892161753706987,0.1524619123843681
T_E110,3,3,227.778,0.0021431897627013754,0.009768602189261497,0.15055756347077703
T_E110,3,4,234.12714285714284,0.0020589319667091185,0.009384557386175624,0.14463851295607952
T_E110,3,5,240.4762857142857,0.0019257451402079277,0.008777495357612918,0.13528223268944112
T_E110,3,6,246.82542857142855,0.0017560099036318907,0.008003846643687754,0.12335845249098892
D_R100,5,0,1.396607142857143,0.0780817531551492,0.3558945633686499,0.3805882068135903
D_R100,5,1,1.5398214285714285,0.0763413644851727,0.3479619178943316,0.37210515698056584
D_R100,5,2,1.6830357142857144,0.029256888095339103,0.13335212125074453,0.14260472040152553
D_R100,5,3,1.82625,0.010534118193976054,0.04801423179714586,0.05134568566668221
D_R100,5,4,1.969464285714286,0.005418288815677699,0.024696416951976278,0.026409970845037527
D_R100,5,5,2.1126785714285714,0.0032983454039502585,0.015033771014918056,0.016076884957321055
D_R100,5,6,2.2558928571428574,0.002229968739451115,0.010164138467482108,0.010869374335277652
