Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
T_E110,3,0,205.5560000413917,0.00198219360704497,1.1662080741294259e-10,1.8166499805254202e-09
T_E110,3,1,207.822447967913,0.0020267450394588888,0.0065292238361573775,0.10170838821927963
T_E110,3,2,210.17778370204567,0.002072591001312101,0.000261862136216263,0.004079133520085924
T_E110,3,3,210.35555981396882,0.0020754506064836835,0.00026222465497068774,0.00408478062288666
T_E110,3,4,216.52211687906834,0.0021428429566466662,0.01851160501656913,0.2883628371202
T_E110,3,5,236.29989217835669,0.001983768299181174,0.038630612176326566,0.6017648343774056
T_E110,3,6,249.9999993377328,0.001658749386608527,1.5614594560099795e-09,2.4323492121843718e-08
D_R100,5,0,1.3250000009336507,0.07801329298273317,4.589850644109616e-09,4.90471117502679e-09
D_R100,5,1,1.5144954605889507,0.0678226226191985,0.8098765887929089,0.8654335540401282
D_R100,5,2,1.7059959159046412,0.022140287320323748,0.0027973212903421602,0.002989215566412641
D_R100,5,3,1.7100059090927242,0.02147102215611565,0.0027127627809771173,0.0028988564026872195
D_R100,5,4,1.714015920953825,0.020819669047785986,0.002630491873901381,0.0028109417691616592
D_R100,5,5,2.021760453172028,0.006113662084203778,0.11778729946198667,0.12586742548776406
D_R100,5,6,2.3274999850615856,0.001818364622077953,1.7117129315885833e-09,1.82913523662795e-09
