Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Pd_P150,9,0,1.8805714285714288,0.09732142500647523,0.6312713904501212,0.8975087788227784
Pd_P150,9,1,3.129714285714286,0.010041220919701995,0.06513196340246125,0.0926012327186111
Pd_P150,9,2,4.378857142857143,0.0009825538370114124,0.006373294748212198,0.009061218476045477
Pd_P150,9,3,5.628,8.18794864176177e-05,0.0005311078956843499,0.0007551015396704565
Pd_P150,9,4,6.877142857142857,7.988242577328555e-06,5.181540445700974e-05,7.366844289467868e-05
Pd_P150,9,5,8.126285714285714,0.0,0.0,0.0
Pd_P150,9,6,9.375428571428571,0.0,0.0,0.0
HX150,10,0,72.99383928571427,0.0005252062040175898,0.0034067282786000566,0.011484369478668521
HX150,10,1,74.53751785714286,0.0011489895724815578,0.007452873249491199,0.025124266767179437
HX150,10,2,76.08119642857142,0.0024030203857666336,0.01558709215470241,0.05254540743009258
HX150,10,3,77.624875,0.004799038022146366,0.031128761265690152,0.10493768993380291
HX150,10,4,79.16855357142856,0.008660784972507496,0.05617782283418637,0.18938019741336665
HX150,10,5,80.71223214285715,0.013082213200790959,0.08485723381957022,0.2860609201630192
HX150,10,6,82.2559107142857,0.015113010522992302,0.09802991649682374,0.3304671488138707
