Region_Index,Region_Label,x0_Current density (A/cm2),x1_Voltage (V),x2_Faradaic efficiency,x3_CO conversion,x4_Crossover rate,x5_Capture energy (MJ/kgCO2),x6_Electricity price (USD/kWh),x7_Membrane cost (USD/m2)
0,0.10<x0<0.58 & 0.10<x2<0.34,6.616725,0.3304824,5.054436,0.53589827,0.0019353164,0.0033224428,1.1886542,0.017687164
1,0.10<x0<0.58 & 0.34<x2<0.59,6.467585,0.32651928,3.2262173,0.517796,0.0020034076,0.0032006882,1.1608521,0.018691108
2,0.10<x0<0.58 & 0.59<x2<0.82,6.7714124,0.35683855,2.3111234,0.5446458,0.0021731395,0.0033550388,1.2605513,0.016495962
3,0.10<x0<0.58 & 0.82<x2<0.90,6.9347615,0.34234333,1.7080104,0.56085044,0.002147726,0.0034170363,1.2302575,0.01696435
4,0.58<x0<0.83 & 0.10<x2<0.34,4.8772006,0.63968325,10.216177,1.0553944,0.0043279673,0.0065969867,2.4076734,0.034192324
5,0.58<x0<0.83 & 0.34<x2<0.59,5.898715,0.7850715,8.050323,1.2652813,0.0049448153,0.007816127,2.9007945,0.04039961
6,0.58<x0<0.83 & 0.59<x2<0.82,6.3126144,0.82331043,5.7290845,1.452139,0.005541817,0.008086106,3.1230688,0.044255953
7,0.58<x0<0.83 & 0.82<x2<0.90,6.372538,0.93345875,4.413293,1.5107253,0.0051235976,0.010529585,3.184208,0.046936773
8,0.83<x0<0.90 & 0.10<x2<0.34,3.3349397,0.5991447,9.667932,1.0371964,0.003289886,0.0070768795,2.2625775,0.030845067
9,0.83<x0<0.90 & 0.34<x2<0.59,4.5894637,0.8176083,8.681163,1.3589666,0.0053546303,0.00907998,3.1214905,0.021102412
10,0.83<x0<0.90 & 0.59<x2<0.82,4.257831,0.8695104,5.301322,1.2689152,0.005391033,0.007372021,2.8739464,0.04305017
11,0.83<x0<0.90 & 0.82<x2<0.90,5.8160534,0.8768941,5.4530525,1.5497645,0.007526657,0.005598308,3.9614506,0.083388805
