Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.0015580031887953542,0.0015443221686697645
Pd_C301,0.0002411265601618173,0.0002090306728262009
HX100,0.05717077875459329,0.05711680971446382
T_E110,0.9257319134612543,0.9259407600701859
L_R100,4.5892961545960076e-05,3.585261088411825e-05
D_R100,1.1468114316053329e-07,6.231097484869187e-06
F_S220,0.0009365531165302596,0.0009281095335647425
T_E120,1.9512803419978044e-06,3.819465058248126e-06
P_V100,2.624232851522827e-07,1.071380321567196e-06
Pd_P150,0.001539795890418583,0.0016687038188989917
HX150,0.005255485244937667,0.0051999518864738
HX220,0.0021336957074645866,0.0019983551270829846
T_E220,0.001829833038419824,0.001789565474509663
Rr_D200,0.0009461441324344399,0.0009584512180556552
Pc_D200,0.00268180824378417,0.0027904419747388507
F_S220.1,3.3957983346658704e-07,5.026918201732038e-07
