Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper
Pd_C103,-0.00046899880678601276,-0.07447984724180491,0.0719608105018766,1.0004511738480426,0.9277343383196845,1.0748813195056524
Pd_C301,0.01396648982794793,-0.05913322404444765,0.08759628048375037,0.9858846847746842,0.9133071914960694,1.0590736761166202
HX100,0.00020707812541036184,-0.07328060466803323,0.07339954447378591,0.9999316589312373,0.9270855361617636,1.0739809996335914
T_E110,-0.0030434686555151696,-0.08375484759293693,0.07712697132524797,1.002966765837832,0.9205418781682686,1.088180743578855
L_R100,-0.0011273029000807829,-0.07550081023199161,0.07089838318937812,1.0012265783304313,0.9284754899844281,1.0755720708345025
D_R100,0.0021725050233495787,-0.07261992705285471,0.0750246495645748,0.9979035927542544,0.9249998430902311,1.07246305286548
F_S220,0.0034798033360765113,-0.06990320340293078,0.07544675058844257,0.996583612850651,0.9242794062589951,1.0701516842201153
T_E120,0.01312910053278096,-0.06007125517089501,0.08551116017289351,0.9870620181845612,0.9157428527475845,1.059053963383188
P_V100,-0.0004232991780509116,-0.07462197521618506,0.07197964649882058,1.0004232991780524,0.9280203535011794,1.0746219752161852
Pd_P150,0.7875761888657564,0.6055184628803805,0.9645903311327392,0.21728006457666438,0.038508754158189405,0.3949023569683863
HX150,0.21675424920218617,0.10799323212560567,0.3330440882676833,0.7835475353605112,0.6728206601828394,0.8922642146479662
HX220,0.0003657980893928533,-0.07343359870350437,0.07280568612900849,0.9996477223884679,0.9266727611885933,1.0736916197631514
T_E220,0.004345779064808806,-0.07004732793634466,0.0761463326639568,0.9957406178817273,0.9227593506307354,1.0691924900195562
Rr_D200,-0.0015533042615401686,-0.07732472271274161,0.07211604566660619,1.0016903667265675,0.928752001160163,1.0761202482109637
Pc_D200,-0.0016048910543468556,-0.07638165696860016,0.07197791589079981,1.001418435888883,0.9280191367718866,1.075981454081037
F_S220.1,-0.0004232991780509116,-0.07462197521618506,0.07197964649882058,1.0004232991780524,0.9280203535011794,1.0746219752161852
